ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,"Prego, seleziona pure una storia",請選擇想閱覽的故事。,,열람할 이야기를 선택해줘,"Bitte wähle eine Geschichte, die du ansehen
möchtest."
2,,"Storia del novizio di un team di hacker.
Un’altra visione del mondo dagli occhi di un hacker.","隸屬於某個駭客隊伍的新人駭客的故事。
推薦給想從駭客的裏側視點來享受故事的人。",,"어떤 해커팀에 소속된 신참 해커의 이야기.
해커라는 뒷세계의 시점에서 이 세계를 즐기고 싶다면 추천할게","Geschichte des Neulings in einem bestimmten
Hacker-Team. Ein Blick durch Hacker-Augen."
3,,"Storia di un Detective Informatico nei mondi digitali
e reali. Entra in questo mondo da qui.","穿梭在現實與虛擬的兩個世界，
追尋神秘事件謎團的電腦偵探的故事。
首次接觸這世界的人，推薦從這故事開始。",,"현실과 전뇌세계를 오가며 괴사건의 수수께끼를 푸는 전뇌탐정 이야기.
이 세계를 처음으로 접한다면 우선 이쪽을 추천할게","Geschichte von Cyber-Detektiven in zwei Welten.
Fang beim ersten Mal hier an."
101,,"Importa dati puliti e comincia la storia che
vuoi cominciare da capo.","繼承過關的資料，
重新選擇想開始的故事",,"클리어한 데이터를 이어받아
새로 시작하고 싶은 이야기를 선택해줘","Importiere die Daten eines abgeschlossenen Spiels
und wähle eine Geschichte zum Neuanfang."
102,,"Storia del novellino di un team di hacker.
Vuoi vedere questa storia?","隸屬於某個駭客隊伍的新人駭客的故事。
你又想看這故事了嗎？",,"어떤 해커팀에 소속된 신참 해커의 이야기.
이 이야기를 다시 볼 거야?","Geschichte des Neulings in einem bestimmten
Hacker-Team. Möchtest du sie sehen?"
103,,"Storia di un Detective Informatico nei mondi digitali
e reali. Vuoi vedere questa storia?","穿梭在現實與虛擬的兩個世界，追尋神秘事件
謎團的電腦偵探的故事。
你又想看這故事了嗎？",,"현실과 전뇌세계를 오가며 괴사건의 수수께끼를 푸는 전뇌탐정 이야기.
이 이야기를 다시 볼 거야?","Geschichte von Cyber-Detektiven in zwei Welten.
Möchtest du sie sehen?"
104,,"Mi dispiace, non puoi selezionare questa storia.
Prova a finire il gioco almeno una volta.","還無法選擇這故事喔。
請先過關後，再重新選擇吧。",,"이 이야기는 아직 선택할 수 없어.
일단 한번 클리어하고 나서 다시 선택해줘","Diese Geschichte ist leider nicht verfügbar.
Schließe das Spiel erst einmal ab."
105,,"Mi dispiace, non puoi selezionare questa storia.
Prova a finire il gioco almeno una volta.","還無法選擇這故事喔。
請先過關後，再重新選擇吧。",,"이 이야기는 아직 선택할 수 없어.
일단 한번 클리어하고 나서 다시 선택해줘","Diese Geschichte ist leider nicht verfügbar.
Schließe das Spiel erst einmal ab."
201,,Seleziona la storia che vuoi ricominciare.,請選擇想繼續的故事。,,재개하고 싶은 이야기를 선택해줘,"Bitte wähle die Geschichte, die du von vorne
beginnen möchtest."
202,,"Non trovo ricordi di questa storia.
Prova a fare Nuova Partita per vederlo tu stesso.","沒有這故事的記憶喔。
想閱覽故事的話，請選擇「New Game」吧。",,"이 이야기의 기억은 아직 없어.
열람하고 싶다면「처음부터」를 선택해줘","Keine Erinnerungen an diese Geschichte gefunden.
Starte ein neues Spiel, um sie zu erleben."
203,,"Non trovo ricordi di questa storia.
Prova a fare Nuova Partita per vederla tu stesso.","沒有這故事的記憶喔。
想閱覽故事的話，請選擇「New Game」吧。",,"이 이야기의 기억은 아직 없어.
열람하고 싶다면「처음부터」를 선택해줘","Keine Erinnerungen an diese Geschichte gefunden.
Starte ein neues Spiel, um sie zu erleben."
