ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,,Entrata EDEN,EDEN入口,,EDEN 엔트런스,EDEN: Eingang
1001,,Area Comune di EDEN,EDEN公共區域,,EDEN 커뮤니티 에어리어,EDEN: Gemeinschaftsbereich
1002,,Area Libera di EDEN,EDEN自由區域,,EDEN 프리 에어리어,EDEN: Freier Bereich
1003,,Forum di EDEN Comimani,EDEN漫畫狂熱廣場,,EDEN 코믹마니 포럼,EDEN: Comimani-Forum
1004,,Spazio aperto di EDEN,EDEN開放空間,,EDEN 오픈 스페이스,EDEN: Offener Raum
1010,,DigiLab,數碼實驗室,,디지랩,DigiLab
1020,,Colosseo,競技場,,콜로세움,Kolosseum
1030,,Forum Zaxon,Zaxon廣場,,잭슨 포럼,Zaxon-Forum
1040,,Covo dei Demons,惡魔巢穴,,데몬즈 아지트,Demons-Höhle
1050,,Kamishiro Enterprise,神代企業,,카미시로 엔터프라이즈,Kamishiro Enterprises
2000,,Nakano,中野,,나카노,Nakano
2001,,Agenzia Investigativa Kuremi,暮海偵探事務所,,쿠레미 탐정사무소,Detektivbüro Kuremi
2002,,K-Cafe,K-Café,,K-카페,K-Café
2003,,Broadway 1F,百老匯 1F,,브로드웨이 1F,Broadway 1. Stock
2004,,Broadway 2F,百老匯 2F,,브로드웨이 2F,Broadway 2. Stock
2005,,Broadway 3F,百老匯 3F,,브로드웨이 3F,Broadway 3. Stock
2006,,Broadway 4F,百老匯 4F,,브로드웨이 4F,Broadway 4. Stock
2007,,Ingresso Sotterraneo di Nakano,中野地下道入口,,나카노 지하도 입구,Eingang zur Nakano-Unterführung
2010,,Ospedale Centrale,中央醫院,,센트럴 병원,Zentralkrankenhaus
2011,,Atrio dell'Ospedale Centrale,中央醫院 大廳,,센트럴 병원 로비,ZK – Empfang
2012,,Reparto Generale dell'Ospedale Centrale,中央醫院 一般病房,,센트럴 병원 일반병동,ZK – Normalstation
2013,,Ospedale - Reparto di Isolamento,中央醫院 隔離病房,,센트럴 병원 격리병동,ZK – Quarantänestation
2014,,Reparto Isolamento - Stanza di Yuugo,隔離病房 勇吾的病房,,격리병동 유고의 병실,Quarantäne – Yuugos Zimmer
2015,,Reparto Generale - Infermeria,一般病房 病房,,일반병동 병실,Normalstation – Krankenzimmer
2020,,Shinjuku,新宿,,신주쿠,Shinjuku
2021,,Piazza della stazione di Shinjuku,新宿 站前廣場,,신주쿠역 광장,Shinjuku: Bahnhofsplatz
2022,,"Shinjuku, Centro Città",新宿 繁華街,,신주쿠 번화가,Shinjuku: Innenstadt
2030,,Shibuya,涉谷,,시부야,Shibuya
2031,,Incrocio di Shibuya,涉谷 站前十字路口,,시부야 스크램블 교차점,Shibuya: Kreuzung
2032,,Ingresso Shibuya Tower Records,涉谷 淘兒唱片前,Ingresso Shibuya Tower Records,시부야 타워레코드 앞,Shibuya Records: Eingang
2033,,Interni Tower Records,淘兒唱片店內,Interni Tower Records,타워레코드 점내,Shibuya Records – Innenbereich
2040,,Akihabara,秋葉原,,아키하바라,Akihabara
2041,,Akihabara Città Elettrica,秋葉原 電氣街大道,,아키하바라 전자상가 큰길,Akihabara: Elektrostadt
2050,,Asakusa,淺草,,아사쿠사,Asakusa
2051,,Di Fronte al Cancello di Asakusa,淺草 大門前,,아사쿠사 다이몬 앞,Vor dem Asakusa-Tor
2060,,Ueno,上野,,우에노,Ueno
