ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,"","EDEN Entrance","EDEN入口","","EDEN 엔트런스","EDEN: Eingang"
1001,"","EDEN Community Area","EDEN公共區域","","EDEN 커뮤니티 에어리어","EDEN: Gemeinschaftsbereich"
1002,"","EDEN Free Area","EDEN自由區域","","EDEN 프리 에어리어","EDEN: Freier Bereich"
1003,"","EDEN Comimani Forum","EDEN漫畫狂熱廣場","","EDEN 코믹마니 포럼","EDEN: Comimani-Forum"
1004,"","EDEN Open Space","EDEN開放空間","","EDEN 오픈 스페이스","EDEN: Offener Raum"
1010,"","DigiLab","數碼實驗室","","디지랩","DigiLab"
1020,"","Colosseum","競技場","","콜로세움","Kolosseum"
1030,"","Zaxon Forum","Zaxon廣場","","잭슨 포럼","Zaxon-Forum"
1040,"","Demons' Den","惡魔巢穴","","데몬즈 아지트","Demons-Höhle"
1050,"","Kamishiro Enterprises","神代企業","","카미시로 엔터프라이즈","Kamishiro Enterprises"
2000,"","Nakano","中野","","나카노","Nakano"
2001,"","Kuremi Detective Agency","暮海偵探事務所","","쿠레미 탐정사무소","Detektivbüro Kuremi"
2002,"","K-Cafe","K-Café","","K-카페","K-Café"
2003,"","Broadway 1F","百老匯 1F","","브로드웨이 1F","Broadway 1. Stock"
2004,"","Broadway 2F","百老匯 2F","","브로드웨이 2F","Broadway 2. Stock"
2005,"","Broadway 3F","百老匯 3F","","브로드웨이 3F","Broadway 3. Stock"
2006,"","Broadway 4F","百老匯 4F","","브로드웨이 4F","Broadway 4. Stock"
2007,"","Nakano Underpass Entrance","中野地下道入口","","나카노 지하도 입구","Eingang zur Nakano-Unterführung"
2010,"","Central Hospital","中央醫院","","센트럴 병원","Zentralkrankenhaus"
2011,"","Central Hospital Lobby","中央醫院 大廳","","센트럴 병원 로비","ZK – Empfang"
2012,"","Central Hospital General Ward","中央醫院 一般病房","","센트럴 병원 일반병동","ZK – Normalstation"
2013,"","Hospital - Isolation Ward","中央醫院 隔離病房","","센트럴 병원 격리병동","ZK – Quarantänestation"
2014,"","Isolation Ward - Yuugo's Room","隔離病房 勇吾的病房","","격리병동 유고의 병실","Quarantäne – Yuugos Zimmer"
2015,"","General Ward - Sickroom","一般病房 病房","","일반병동 병실","Normalstation – Krankenzimmer"
2020,"","Shinjuku","新宿","","신주쿠","Shinjuku"
