ID,Japanese,English,Chinese,EnglishCensored,Korean,German
20,"","Broadway on Fire!","灼熱百老匯","","작열 브로드웨이","Brandheißes Broadway!"
21,"","Something is wrong with the Broadway air
conditioning. It's just way too hot!
Will you check out what the problem is?","百老匯裡的空調又出了狀況
這次是因為溫度上升而熱得不得了呀……
能拜託你調查原因嗎？","","또 브로드웨이 내의 공기 상태가 이상해.
이번엔 온도가 올라가서 무덥기 짝이 없어…
원인 조사를 부탁할 수 있을까?","Mit der Klimaanlage von Broadway stimmt
etwas nicht. Es ist viel zu heiß! Kannst
du nachsehen, wo das Problem liegt?"
22,"","Client: Chinese Restaurant Owner
Place: Broadway 1F","【委託人】中式餐廳店長
【所在地】百老匯1F","","【의뢰인】중화요리 가게 점장
【장소】브로드웨이 1F","Klient: Chinarestaurant-Besitzer
Ort: Broadway – 1. Stock"
23,"","Check out Broadway.","調查BW館內，尋找空調失靈的原因","","BW관내를 조사하여 공조이상의 원인을 찾자.","Untersuche Broadway"
26,"","Reward is at agency","在事務所領取報酬","","사무소에서 보상을 받는다.","Belohnung im Büro"
40,"","A Game, a Bug, and an Imperiled Job","遊戲和錯誤和解雇","","게임과 에러와 나의 목","Ein Spiel, ein Fehler, ein Job in Gefahr"
41,"","My phone game was released, but there's
a really huge bug in it! Aaaahhh! Please
help me!","公司發行了一款手機遊戲APP
卻出現原因不明的重大錯誤！
……啊啊啊啊啊！　快幫幫我啊！！","","휴대게임 앱을 발매했는데
원인 불명의 중대 에러가 나와버렸어!
…아아아아아!  어떻게 좀 해줘!!","Mein Handyspiel wurde veröffentlicht,
aber es hat einen Riesenfehler! Aaah!
Bitte hilf mir!"
42,"","Client: Game Company Employee
Place: Shinjuku","【委託人】遊戲公司職員
【所在地】新宿","","【의뢰인】게임회사의 사원
【장소】신주쿠","Klient: Spieleentwickler
Ort: Shinjuku"
43,"","Do a Connect Jump","在手機上登入跳躍，尋找原因","","핸드폰으로 커넥트 점프하여 원인을 찾아내자.","Verbindungssprung machen"
60,"","I'm Not a Flower Person...","我對花一點興趣也沒有……","","꽃은 취향이 아닌데…","Ich bin kein Blumen-Typ ..."
61,"","I have all of these pictures of flowers
saved on my phone. I keep deleting them,
but they keep coming back. Help!","手機裡被存入好幾張神秘的花卉照片
不管刪除幾次還是會再出現
喂，你能幫我看看是怎麼回事嗎？","","핸드폰에 정체모를 꽃 사진이 몇 장씩 저장되고 있어.
게다가 지워도 지워도 다시 늘어나.
이봐, 좀 살펴봐 주지 않을래?","Auf meinem Handy sind all diese Fotos
von Blumen gespeichert. Ich lösche sie,
aber sie kommen immer wieder. Hilfe!"
62,"","Client: Hot Guy
Place: Shinjuku","【委託人】帥氣的男子
【所在地】新宿","","【의뢰인】잘생긴 남자
【장소】신주쿠","Klient: Heißer Typ
Ort: Shinjuku"
