ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1000,,"La prima parola chiave da
ricordare da
Mr. Navit.","在來自NAVIT的通話中
獲得的值得紀念的
第一個關鍵字",,"내빗군과의 통신으로
입수한 기념할만한
첫번째 키워드","Das erste
Stichwort von
Herr Navit."
1200,,"Una parola chiave ottenuta da
un Tipo Eccentrico durante
l'indagine.","在調查帳號狩獵的過程中
從輕浮男身上
得知的關鍵字",,"계정 사냥 조사 도중
경박한 남자를 통해
얻은 키워드","Ein Stichwort
von einem Angeber."
1210,,"Una parola chiave da
Kyoko che aiuterà
con il caso.","完成山科悠子的委託，
從杏子身上獲得的關鍵字",,"야마시나 유코의 의뢰를
해결하기 위해 쿄코에게서
받은 키워드","Ein Stichwort
von Kyoko, das im
Fall helfen wird."
1300,,"Una parola chiave dall'hacker a Kowloon
che blocca il cammino.","阻擋去路
從Kowloon的駭客身上
獲得的關鍵字",,"길을 막은 
쿠롱의 해커로부터
얻은 키워드","Ein Stichwort
von dem „Türsteher“-
Hacker aus Kowloon."
1310,,"Una parola chiave che hai sentito da
un ragazzino di Kowloon come
un modo per trovare una ragazza.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字",,"여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1320,,"Una parola chiave che hai sentito da
un giovane di Kowloon come un
modo per trovare una ragazza.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字",,"여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1330,,"Una parola chiave che hai sentito
da un giovane di Kowloon come un
modo per trovare una fidanzata.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字",,"여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1340,,"Una parola chiave sentita da
un giovane di Kowloon come
modo per trovare una ragazza.","以結交女朋友的方法
從Kowloon的年輕人身上
得知的關鍵字",,"여자친구를 만드는 방법으로
쿠롱의 젊은이에게서
얻은 키워드","Ein Stichwort,
mit dem man eine
Freundin bekommt."
1500,,"Una parola chiave da Chika
quando si indaga
su Yamashina.","在調查山科誠的過程中
從女兒千夏身上
獲得的關鍵字",,"야마시나 마코토를 조사하던 중
딸인 치카로부터
얻은 키워드","Ein Stichwort
von Chika im
Yamashina-Fall."
1600,,"Una parola chiave da
Makiko che aiuterà
ad Akihabara.","在秋葉原神祕失蹤事件的
委託中，從伊達真希子
身上獲得的關鍵字",,"아키바하라의 행방불명 사건
의뢰로 다테 마키코에게서
얻은 키워드","Ein Stichwort
von Makiko für
Akihabara."
1610,,"Una parola chiave ottenuta
dal ragazzo nerd quando
ad Akihabara.","在調查秋葉原神祕失蹤
事件的過程中從御宅族青年
身上得知的關鍵字",,"아키하바라의 행방불명 조사 중
오타쿠 청년으로부터
얻은 키워드","Ein Stichwort
vom jungen Nerd in
Akihabara."
2400,,"Una parola chiave ottenuta
dall'infermiera durante
le indagini.","在調查山科誠的過程中
從醫院的護理師身上
得知的關鍵字",,"야마시나 마코토를 조사하던 중
병원의 간호사로부터
얻은 키워드","Ein Stichwort
von einer
Krankenschwester."
3000,,"Una parola chiave ottenuta
nel caso da
Reiko Tawa.","在淘兒唱片的店員
田和玲子的委託中
獲得的關鍵字",,"타워레코드 점원
타와 레이코로부터 받은 의뢰로
얻은 키워드","Ein Stichwort
von Reiko Tawa."
4000,,"Una parola chiave da
Kyoko che aiuterà
con Matayoshi.","協助又吉刑警
在杏子的委託中
獲得的關鍵字",,"마타요시 형사를 돕기 위해
쿄코로부터 받은 의뢰로
얻은 키워드","Ein Stichwort
von Kyoko, das mit
Matayoshi hilft."
4010,,"Una parola chiave
dell'hacker che
aiuterà nel caso.","在調查怪人數碼面相的
過程中從反覆無常的
駭客身上得知的關鍵字",,"괴인 디지면상을 조사하던 중
변덕쟁이 해커로부터
얻은 키워드","Ein Stichwort
von dem Hacker, das
bei dem Fall hilft."
5000,,"L'ultima parola chiave
dal Game Master
nella battaglia comica.","稀有漫畫爭奪戰中
遊戲大師所出的
最後一道問題的關鍵字",,"레어 코믹스 쟁탈전에서
게임 마스터가 출제한
최종문제 키워드","Das letzte
Stichwort vom
Quizmeister."
