ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Battaglia di Classifica,排名戰,,랭킹 배틀,Rangkampf
2,,Battaglia Locale,區域對戰,,로컬 배틀,Lokaler Kampf
3,,Ricerca Avversario,搜尋對戰對手,,대전 상대를 찾는다,Gegnersuche
4,,Vedi i primi 100,檢視TOP 100,,TOP 100을 본다,Top 100 zeigen
5,,Vedi il Mio Grado,檢視個人排名,,마이 랭킹을 본다,Mein Rang
1001,,"*Impossibile combattere se la Memoria della Squadra supera
150.
*Tutti i livelli dei Digimon nelle battaglie di trasmissione
sono impostati a Lv. 50 per la battaglia.","・隊伍上限超過150的玩家無法進行對戰。

・連線對戰時使用的數碼寶貝的等級一律為50
  （僅限戰鬥中）。",,"*파티 메모리가 150 이하가 아니면 대전할 수 없습니다.
*통신 배틀에서 사용하는 디지몬의 레벨은 배틀 중 
60이 됩니다.","*Kein Kampf möglich, wenn der Gruppenspeicher
über 150 liegt.
Alle Digimon-Level werden für die Kampfdauer
auf Lv. 50 gesetzt."
9900,,000INVESTIGATOREDENNOU,000DENNOUTANNTEI,,000DENNOUTANNTEI,000DENNOUTANNTEI
9901,,001TYPHOONGIRLSN,001TYPHOONGIRLSN,,001TYPHOONGIRLSN,001TYPHOONGIRLSN
9902,,002HACKERLEGGENDARIO,002DENSETUHACKER,,002DENSETUHACKER,002DENSETUHACKER
9903,,003AMOGOHAN,003GOHANNDAISUKI,,003GOHANNDAISUKI,003GOHANNDAISUKI
9904,,004OTAKUHACKERSA,004OTAKUHACKERSA,,004OTAKUHACKERSA,004OTAKUHACKERSA
9905,,005TETTOUTETSUBI,005TETTOUTETSUBI,,005TETTOUTETSUBI,005TETTOUTETSUBI
9906,,006AKEMICHANSHOP,006AKEMICHANSHOP,,006AKEMICHANSHOP,006AKEMICHANSHOP
9907,,007RIECHANMOEMOE,007RIECHANMOEMOE,,007RIECHANMOEMOE,007RIECHANMOEMOE
9908,,008SJMATAGIKEIJI,008SJMATAGIKEIJI,,008SJMATAGIKEIJI,008SJMATAGIKEIJI
9909,,009COLIBRÌ,009STHUMMINGBIRD,,009STHUMMINGBIRD,009STHUMMINGBIRD
9910,,010TOMODACIDOSUE,010TOMODACIDOSUE,,010TOMODACIDOSUE,010TOMODACIDOSUE
9911,,011RAGAZZAMOTORAVVIO,011MOTOYANKIGIRL,,011MOTOYANKIGIRL,011MOTOYANKIGIRL
9912,,012KUUHAKUNOSEKI,012KUUHAKUNOSEKI,,012KUUHAKUNOSEKI,012KUUHAKUNOSEKI
9913,,013OISUTERVFORCE,013OISUTERVFORCE,,013OISUTERVFORCE,013OISUTERVFORCE
9914,,014MIKATAWASMALL,014MIKATAWASMALL,,014MIKATAWASMALL,014MIKATAWASMALL
9915,,015CAFEDEOSUWARI,015CAFEDEOSUWARI,,015CAFEDEOSUWARI,015CAFEDEOSUWARI
9916,,016GANNKONAOYAJI,016GANNKONAOYAJI,,016GANNKONAOYAJI,016GANNKONAOYAJI
9917,,017DEBANNI SCARSI,017DEBANNSUKUNAI,,017DEBANNSUKUNAI,017DEBANNSUKUNAI
9918,,018TEKKENNSEIBAI,018TEKKENNSEIBAI,,018TEKKENNSEIBAI,018TEKKENNSEIBAI
9919,,019TUVIENIMIQUI,019TUUITEKOREMAI,,019TUUITEKOREMAI,019TUUITEKOREMAI
9920,,020DKCRIMSONMODE,020DKCRIMSONMODE,,020DKCRIMSONMODE,020DKCRIMSONMODE
9921,,021BUSIDOSEISIN,021BUSHIDOSEISIN,,021BUSHIDOSEISIN,021BUSHIDOSEISIN
9922,,022YGGDRASILLISI,022YGGDRASILLISI,,022YGGDRASILLISI,022YGGDRASILLISI
9923,,023PLASMASHOOOOT,023PLASMASHOOOOT,,023PLASMASHOOOOT,023PLASMASHOOOOT
9924,,024ROSEKNIGHTMON,024ROSEKNIGHTMON,,024ROSEKNIGHTMON,024ROSEKNIGHTMON
101,,Battaglia Evento: [d0],【活動戰鬥】[d0],,【이벤트 배틀】[d0],Eventkampf: [d0] 
102,,Oggetto a Tempo Limitato,期間限定道具,,기간 한정 아이템,Zeitlich begrenztes Item
103,,[d0] sinistra: [n0],離結束還有[n0][d0],,종료까지 [n0][d0],[d0] übrig: [n0] 
104,,"Avatar: [d0]
Accessorio: [d1]","【化身】 [d0]
【飾品】 [d1]",,"【아바타】 [d0]
【액세서리】 [d1]","Avatar: [d0]
Accessoire: [d1]"
105,,[n0] Moneta(e),[n0]硬幣,,[n0]코인,[n0] Münze(n)
106,,"Titolo ""[d0]""",稱號「[d0]」,,칭호「[d0]」,Titel „[d0]“
107,,"Accessorio ""[d0]""",飾品「[d0]」,,액세서리「[d0]」,Accessoire „[d0]“
201,,Metodo di compatibilità,配對方法,,매칭 방법,Suchmethode
202,,Punti Valutazione,評價點數,,레이팅 포인트,Wertungspunkte
203,,Raggio di ricerca,搜尋範圍,,검색 범위,Suchbereich
204,,Inizio Abbinamento,配對開始,,매칭 개시,Matchstart
301,,Recluta Avversario,募集對戰對手,,대전 상대를 모집,Gegner rekrutieren
302,,Abbinamento Rapido,快速配對,,퀵 매칭,Schnellsuche
303,,Combatti NPC,與NPC戰鬥,,NPC와 대전,Gegen NSC kämpfen
401,,Vicino a te,與自己相近,,자신과 동급,Ähnlich wie du
402,,Più in alto di te,比自己高,,자신보다 상급,Besser als du
403,,Nessuna Restrizione,無限制,,제한 없음,Keine Einschränk.
501,,Domestico,國內,,국내,Lokal
502,,Tutti,所有,,전체,Alle
211,,Regole,規則方針,,룰 방침,Regeln
212,,Commento di reclutamento,募集評語,,모집 코멘트,Suchkommentar
213,,Chiave della stanza,房間密碼,,룸 키,Raumschlüssel
214,,Crea una stanza con queste impostazioni.,以此設定製作房間,,이 설정으로 룸을 작성합니다.,Raum mit Einstell. einr.
215,,Trova una stanza con queste impostazioni.,以此條件搜尋房間,,이 조건으로 룸을 검색합니다.,Raum mit Beding. suchen
601,,Lotta Libera,自由對戰,,자유롭게 대전,Freier Kampf
602,,Regole Piatte,平等規則,,플랫 룰,Normale Regeln
603,,Restrizione,無限制對戰,,무제한 룰,Sonderregeln
701,,Va bene chiunque,歡迎所有人,,아무나 오세요,Alle willkommen
702,,Scontro Reale,認真對戰,,진지하게 합시다,Echter Kampf
703,,Combattimento Amichevole,輕鬆對戰,,적당하게 합시다,Freundschaftskampf
704,,Combattere con gli Amici,與好友進行對戰,,친구와 대전하고 있습니다,Kampf mit Freunden
801,,Nessuna Designazione,不指定,,룰 지정 없습니다,Nicht festgelegt
802,,Non impostato,無設定,,미설정,–
901,,[n0]P [d0] è entrato nella stanza.,[n0]P [d0]已進入房間。,,[n0]P [d0]님이 입실하셨습니다.,S[n0] [d0] hat den Raum betreten.
902,,[n0]P [d0] ha lasciato la stanza.,[n0]P [d0]已退出房間。,,[n0]P [d0]님이 퇴실하셨습니다.,S[n0] [d0] hat den Raum verlassen.
903,,[n0]P [d0] è diventato l'ospite.,[n0]P [d0]已成為房主。,,[n0]P [d0]님이 호스트가 되셨습니다.,S[n0] [d0] ist nun Gastgeber.
904,,[d0]: [d1],[d0] : [d1],,[d0] : [d1],[d0]: [d1]
1002,,"- Livelli dei Digimon impostati a 50 durante la battaglia
- Memoria della squadra 100 o meno","．戰鬥中，數碼寶貝的等級將固定在50級
．隊伍容量在100以下",,"・배틀할 디지몬의 레벨을 50으로 고정합니다.
・파티 메모리 100 이하.","- Digimonlevel während Kampf auf 50 gesetzt
- Gruppenspeicher 100 oder weniger"
1101,,Impostazioni livello,等級設定,,레벨 설정,Level-Einstell.
1102,,Impostazioni della memoria,容量設定,,메모리 설정,Speicher-Einst.
1103,,Potenziamenti,強化值,,강화치,Verbesserungen
1104,,Volume Musica,BGM,,BGM,Musik
1105,,Gruppo,使用隊伍,,사용할 파티,Gruppe
1106,,Recluta con queste impostazioni.,以此設定募集對戰,,이 설정으로 대전 상대를 모집,Mit Einst. rekrutieren
1107,,Unisciti con queste impostazioni.,以此設定參加對戰,,이 설정으로 대전에 참가,Mit Einst. beitreten
1111,,50 Fisso,平等50級,,50 플랫,Alle auf 50
1121,,Entro 100,100以內,,100 이내,Bis zu 100
1122,,Entro 75,75以內,,75 이내,Bis zu 75
1123,,Entro 50,50以內,,50 이내,Bis zu 50
1124,,Entro 25,25以內,,25 이내,Bis zu 25
1131,,Usa,使用隊伍,,사용한다,Nutzen
1132,,Non usare,不使用,,사용하지 않는다,Nicht benutzen
1200,,Set [d0],設定[d0],,세트 [d0],Set [d0]
9925,,025MOBUYAMAMOBUO,025MOBUYAMAMOBUO,,025MOBUYAMAMOBUO,025MOBUYAMAMOBUO
9926,,026MEMENTOTOMORI,026MEMENTOTOMORI,,026MEMENTOTOMORI,026MEMENTOTOMORI
9927,,027MISEROUOMO,027OTOKOGIMISERO,,027OTOKOGIMISERO,027OTOKOGIMISERO
9928,,028HACHIDORICHAN,028HACHIDORICHAN,,028HACHIDORICHAN,028HACHIDORICHAN
9929,,029KAIJUDAISENSO,029KAIJUDAISENSO,,029KAIJUDAISENSO,029KAIJUDAISENSO
9930,,030MOTIVOZEBRATO,030SIMASIMAMOYOU,,030SIMASIMAMOYOU,030SIMASIMAMOYOU
9931,,031SPADAESCU,031SWORDANDSHILD,,031SWORDANDSHILD,031SWORDANDSHILD
9932,,032TICHUNOSHINPI,032TICHUNOSHINPI,,032TICHUNOSHINPI,032TICHUNOSHINPI
9933,,033STEAMPUNKERRS,033STEAMPUNKERRS,,033STEAMPUNKERRS,033STEAMPUNKERRS
9934,,034TENSINOSIGOD,034TENSINOOSIGOD,,034TENSINOOSIGOD,034TENSINOOSIGOD
9935,,035MAICREDARE,035TONDEMOHAPPUN,,035TONDEMOHAPPUN,035TONDEMOHAPPUN
9936,,036INUDESUONEGAI,036INUDESUONEGAI,,036INUDESUONEGAI,036INUDESUONEGAI
9937,,037STRIPERNAKANO,037STRIPERNAKANO,,037STRIPERNAKANO,037STRIPERNAKANO
9938,,038UNO_O_WAOOOON,038ONE_O_WAOOOON,,038ONE_O_WAOOOON,038ONE_O_WAOOOON
9939,,039ANIMALSGARDEN,039ANIMALSGARDEN,,039ANIMALSGARDEN,039ANIMALSGARDEN
9940,,040AMOIDINOSAURI,040ILOVEDINOSAUR,,040ILOVEDINOSAUR,040ILOVEDINOSAUR
9941,,041ARUKUTOJUPPUN,041ARUKUTOJUPPUN,,041ARUKUTOJUPPUN,041ARUKUTOJUPPUN
9942,,042AKIHABARAOTAKU,042AKIBANOOTAKUS,,042AKIBANOOTAKUS,042AKIBANOOTAKUS
9943,,043CAVALIERETAVOLA,043ENTAKUNOKISHI,,043ENTAKUNOKISHI,043ENTAKUNOKISHI
9944,,044BUTURIDENAGUR,044BUTURIDENAGUR,,044BUTURIDENAGUR,044BUTURIDENAGUR
9945,,045THEDARKSIDERS,045THEDARKSIDERS,,045THEDARKSIDERS,045THEDARKSIDERS
9946,,046DEGIMONDAISKI,046DEGIMONDAISKI,,046DEGIMONDAISKI,046DEGIMONDAISKI
9947,,047CUOREAMORECUORE,047LOVEHEARTLOVE,,047LOVEHEARTLOVE,047LOVEHEARTLOVE
9948,,048BAMBINISELTETTI,048ERABARETAKIDS,,048ERABARETAKIDS,048ERABARETAKIDS
9949,,049CHOIWARUOYAJI,049CHOIWARUOYAJI,,049CHOIWARUOYAJI,049CHOIWARUOYAJI
9950,,050ROSECROSSVAMP,050ROSECROSSVAMP,,050ROSECROSSVAMP,050ROSECROSSVAMP
9951,,051ANGELODILEGGENDA,051ANGELOFLEGEND,,051ANGELOFLEGEND,051ANGELOFLEGEND
