ID,Japanese,English,Chinese,EnglishCensored,Korean,German
20,,Broadway in fiamme!,灼熱百老匯,,작열 브로드웨이,Brandheißes Broadway!
21,,"C'è qualcosa che non va con l'aria condizionata 
di Broadway. Fa decisamente troppo caldo!
Vuoi controllare qual è il problema?","百老匯裡的空調又出了狀況
這次是因為溫度上升而熱得不得了呀……
能拜託你調查原因嗎？",,"또 브로드웨이 내의 공기 상태가 이상해.
이번엔 온도가 올라가서 무덥기 짝이 없어…
원인 조사를 부탁할 수 있을까?","Mit der Klimaanlage von Broadway stimmt
etwas nicht. Es ist viel zu heiß! Kannst
du nachsehen, wo das Problem liegt?"
22,,"Cliente: Proprietario di ristorante cinese
Luogo: Broadway 1F","【委託人】中式餐廳店長
【所在地】百老匯1F",,"【의뢰인】중화요리 가게 점장
【장소】브로드웨이 1F","Klient: Chinarestaurant-Besitzer
Ort: Broadway – 1. Stock"
23,,Dai un'occhiata a Broadway.,調查BW館內，尋找空調失靈的原因,,BW관내를 조사하여 공조이상의 원인을 찾자.,Untersuche Broadway
26,,La ricompensa è all'agenzia,在事務所領取報酬,,사무소에서 보상을 받는다.,Belohnung im Büro
40,,"Un Gioco, un Bug e un Lavoro in Pericolo",遊戲和錯誤和解雇,,게임과 에러와 나의 목,"Ein Spiel, ein Fehler, ein Job in Gefahr"
41,,"Il mio gioco per telefono è uscito, ma c'è
un bug davvero enorme! Aaaahhh! Per favore
aiutatemi!","公司發行了一款手機遊戲APP
卻出現原因不明的重大錯誤！
……啊啊啊啊啊！　快幫幫我啊！！",,"휴대게임 앱을 발매했는데
원인 불명의 중대 에러가 나와버렸어!
…아아아아아!  어떻게 좀 해줘!!","Mein Handyspiel wurde veröffentlicht,
aber es hat einen Riesenfehler! Aaah!
Bitte hilf mir!"
42,,"Cliente: Impiegato di una Società di Videogiochi
Luogo: Shinjuku","【委託人】遊戲公司職員
【所在地】新宿",,"【의뢰인】게임회사의 사원
【장소】신주쿠","Klient: Spieleentwickler
Ort: Shinjuku"
43,,Esegui un Salto di Connessione,在手機上登入跳躍，尋找原因,,핸드폰으로 커넥트 점프하여 원인을 찾아내자.,Verbindungssprung machen
60,,Non sono un tipo da fiori...,我對花一點興趣也沒有……,,꽃은 취향이 아닌데…,Ich bin kein Blumen-Typ ...
61,,"Ho tutte queste foto di fiori salvate
sul mio telefono. Continuo a cancellarle,
ma continuano a tornare. Aiuto!","手機裡被存入好幾張神秘的花卉照片
不管刪除幾次還是會再出現
喂，你能幫我看看是怎麼回事嗎？",,"핸드폰에 정체모를 꽃 사진이 몇 장씩 저장되고 있어.
게다가 지워도 지워도 다시 늘어나.
이봐, 좀 살펴봐 주지 않을래?","Auf meinem Handy sind all diese Fotos
von Blumen gespeichert. Ich lösche sie,
aber sie kommen immer wieder. Hilfe!"
62,,"Cliente: Tipo Figo
Luogo: Shinjuku","【委託人】帥氣的男子
【所在地】新宿",,"【의뢰인】잘생긴 남자
【장소】신주쿠","Klient: Heißer Typ
Ort: Shinjuku"
63,,Esegui un Salto di Connessione,在手機上登入跳躍，尋找原因,,핸드폰으로 커넥트 점프하여 원인을 찾아내자.,Verbindungssprung machen
80,,Pugni Rossi e Sudore Caldo!,熱血之拳、沸騰汗水！,,"붉게 타오르는 주먹, 끓어오르는 땀!",Rote Fäuste und rinnender Schweiß!
81,,"Le visualizzazioni del sito per l'associazione sono
alle stelle! Il sito è andato giù...
Qualcuno ci sta sabotando?","協會官方網站的流量急遽增加！
害伺服器一直斷線，抱怨聲如雪片般飛來啊
這該不會是誰搞的鬼吧……？",,"협회 공식 사이트 접속 수가 급상승 중!
덕분에 서버가 다운돼서 고생이 이만저만이 아니야.
이거, 누군가의 수작은 아니겠지…?","Es gab einen Ansturm auf die Seite des
Verbands! Sie ist zusammengebrochen ...
Werden wir sabotiert?"
82,,"Cliente: Staff dell'Associazione di Boxe
Luogo: K-Cafe","【委託人】拳擊協會人員
【所在地】K-Cafe",,"【의뢰인】복싱협회 사람
【장소】K-카페","Klient: Boxverband-Mitarbeiter
Ort: K-Café"
83,,Esegui un Salto di Connessione,在網頁上登入跳躍，尋找原因,,사이트에 커넥트 점프하여 원인을 찾아내자.,Verbindungssprung machen
84,,Convincere Gaomon 1,說服迦奧獸1,,가오몬을 설득하자 1,Gaomon 1 überzeugen
85,,Convincere Gaomon 2,說服迦奧獸2,,가오몬을 설득하자 2,Gaomon 2 überzeugen
86,,Convincere Gaomon 3,說服迦奧獸3,,가오몬을 설득하자 3,Gaomon 3 überzeugen
87,,Convincere Gaomon 4,說服迦奧獸4,,가오몬을 설득하자 4,Gaomon 4 überzeugen
88,,Convincere Gaomon 5,說服迦奧獸5,,가오몬을 설득하자 5,Gaomon 5 überzeugen
100,,Una Crisi di Vita!?,生命危險！？,,생명의 위기!?,Lebensgefahr?!
101,,"Click... Ho perso... un ingranaggio... Click...
Se... non lo... click... trovo...
Click... morirò! Aiuto... click... mi serve!","嗄吱……身體的齒輪……少了一個……
再這樣下去……嗄吱、我會死掉的……
……拜託你，快來救我……！！",,"기긱…몸의 톱니바퀴를 하나…잃어버렸어…
이대로라면…기긱, 난 죽어…
…부탁해, 빨리 구하러 와줘…!!","Klick ... Habe ein ... Zahnrad verloren.
Klick ... Finde ich es ... nicht ...
klick ... sterbe ich! Hilfe! ... Klick."
102,,"Cliente: Hagurumon
Luogo: Broadway 1F","【委託人】齒輪獸
【所在地】百老匯1F",,"【의뢰인】톱니몬
【장소】브로드웨이 1F","Klient: Hagurumon
Ort: Broadway – 1. Stock"
103,,Inizio: Broadway 1°piano.,從BW1F某處前往委託人的所在地,,BW 1F 어딘가에서 의뢰인이 있는 곳으로 가자.,Start: Broadway – 1. Stock
104,,L'ingranaggio di Hagurumon,尋找齒輪獸的齒輪,,톱니몬의 톱니바퀴를 찾는다.,Hagurumons Zahnrad
120,,Trova gli scomparsi!,行蹤不明的協尋請求！,,실종자 수색을 부탁해!,Vermisstensuche!
121,,"DemiDevimon! DemiDevimon! Non riesco a
trovare il mio DemiDevimon! Deve essere nel
mondo reale. Aiutami a cercarlo!","小惡魔獸！！
我找不到我的小惡魔獸啊！！
它一定是在現實世界裡，幫我找到它！！",,"피코데블몬이!!
나의 피코데블몬이 보이질 않아!!
현실 세계에 있을텐데 찾아줘!!","DemiDevimon! DemiDevimon! Ich kann mein
DemiDevimon nicht finden! Es muss in der
echten Welt sein. Hilf mir suchen!"
122,,"Cliente: Hacker Nervoso
Luogo: Incerto","【委託人】愛操心的駭客
【所在地】不明",,"【의뢰인】걱정 많은 해커
【장소】불명","Klient: Nervöser Hacker
Ort: Unklar"
123,,DemiDevimon in città,尋找徘徊在某條街上的小惡魔獸,,어떤 거리에 있는 피코데블몬을 찾자.,DemiDevimon in Stadt
140,,Sogno del Cielo,翱翔天際的心願,,하늘에 거는 마음,Der Traum vom Fliegen
141,,"Il sogno di Biyomon è volare nel cielo!
Ma non importa quanto Biyomon ci provi,
non ce la fa... Aiuta Biyomon!","比丘獸的夢想就是在天空中自由翱翔！
但是，不管怎麼練習還是飛不起來
該怎麼做才好呢？　聽聽我的煩惱吧",,"피요몬의 꿈은 말야, 자유롭게 하늘을 나는거야!
그치만 아무리 연습해도 잘 날 수가 없어.
어떻게 하면 좋을까? 상담을 부탁해.","Biyomons Traum ist es, durch die Lüfte
zu fliegen! Aber seine Bemühungen sind
zwecklos ... Hilf Biyomon!"
142,,"Cliente: Biyomon
Luogo: Shinjuku","【委託人】比丘獸
【所在地】新宿",,"【의뢰인】피요몬
【장소】신주쿠","Klient: Biyomon
Ort: Shinjuku"
143,,Biyomon a Shinjuku,和身在新宿的比丘獸見面,,신주쿠에 있는 피요몬을 만나자.,Biyomon in Shinjuku
144,,Hawkmon a Shibuya,和身在涉谷的麻鷹獸見面,,시부야에 있는 호크몬을 만나자.,Hawkmon in Shibuya
160,,Cibo insufficiente,不足的食材,,부족한 식재료,Nicht genug Essen
161,,"Il mio padrone è molto triste e non mangia
nemmeno. Voglio preparare del buon cibo!
Ma non ci riesco! Aiutami!","主人最近不怎麼進食且無精打采的……
我要為主人製作料理！
只有我一個人忙不過來，幫幫我吧",,"요즘 식사도 하지 않고 기운이 없는 주인님…
그런 주인님을 위해 밥을 만들거야!
나 혼자선 힘드니까 도와줘―","Meine Meisterin ist sehr traurig und isst
nicht mal. Ich will etwas ganz Leckeres
kochen, aber ich kann’s nicht! Hilf mir!"
162,,"Cliente: Growlmon
Luogo: Broadway 3F","【委託人】古拉獸
【所在地】百老匯3F",,"【의뢰인】그라우몬
【장소】브로드웨이 3F","Klient: Growlmon
Ort: Broadway – 3. Stock"
163,,Inizia a Broadway 3F,從BW3F某處前往委託人的所在地,,BW 3F 어딘가에서 의뢰인이 있는 곳으로 가자.,Start: Broadway 3. St.
164,,Ottieni l'osso di Ogremon,向奧加獸借骨頭,,우가몬의 뼈를 빌리자.,Ogremons Knochen
165,,Ottieni osso per Growlmon,將骨頭交給古拉獸,,그라우몬에게 뼈를 전해주자.,Knochen zu Growlmon
166,,Growlmon hacker di EDEN,在EDEN裡找出古拉獸的駭客主人,,EDEN에서 그라우몬의 주인 해커를 찾아라.,Hackerin in EDEN
180,,Svelare il Settimo Enigma,校園七大不可思議，第7項的真相,,"학교 7대 불가사의, 7번째의 정체",Die Lösung des siebten Rätsels
181,,"Ci sono sette indovinelli nella scuola.
E ho visto il mostro del settimo!
Aiutami a scoprire la sua vera identità!","學校裡流傳著七大不可思議
我看見了第7項的妖怪呀！
你也幫我一起揭發那傢伙的真面目吧！",,"학교에 전해지는 7대 불가사의가 있는데
그 중 7번째로 나오는 괴물을 보고 싶어!
그 놈의 정체를 밝히는걸 도와줘!","Es gibt sieben Rätsel in der Schule. Ich
habe das Monster des siebten gesehen!
Hilf mir, seine Identität zu enthüllen!"
182,,"Cliente: Ragazzo Energico
Luogo: Negozio di Carte Broadway","【委託人】充滿活力的男孩
【所在地】百老匯‧Card Shop",,"【의뢰인】활기찬 남자아이
【장소】브로드웨이 카드숍","Klient: Lebhafter Junge
Ort: Broadway-Kartenladen"
183,,Foto di mostri ad Asakusa,憑著肖像畫在淺草蒐集妖怪的情報,,단서로 아사쿠사에서 괴물의 정보를 모으자.,Asakusa-Monsterbild
184,,Il vero mostro è?,去勸誡妖怪的真身,,괴물의 정체!?에 주의하며 가자.,Das Monster ist ...
185,,Attento a Wizardmon,去勸誡巫師獸,,위자몬에 주의하러 가자.,"Vorsicht, Wizardmon"
200,,Sonno Interrotto,妨礙睡眠,,수면 방해,Gestörter Schlaf
