ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1109,,"Maybe I'll become a computer whiz if a
hacker can teach me. You're one, right?","Si dice che chiunque venga istruito da un hacker diventi
davvero bravo a usare il computer! Sei un hacker, vero?",,"해커라는 인간에게 배우면 컴퓨터 다루는 
실력이 좋아진대! 너도 해커지?","Vielleicht werde ich ein Computergenie,
wenn ein Hacker wie du mich lehrt?"
1122,,"Hey, buy me an accessory! I want a
stylish hat!","Va bene, va bene, comprami degli accessori~!
Voglio un cappello alla moda~!",,"있잖아~ 액세서리 사줘사줘~!
멋진 모자같은 걸 갖고 싶어~!","He, kauf mir Accessoires! Ich will eine
schicke Kopfbedeckung!"
1126,,"Humans study at places called schools,
right? Do you go school?","Ehm, ehm, gli umani imparano in un posto chiamato scuola, giusto?
Sei andato a scuola?",,"저기저기, 인간은 학교란 곳에서 공부하지?
너도 학교에 다니고 있어?","Menschen lernen in Schulen, oder? Gehst
du zur Schule?"
1209,,"I heard human computer experts are
called hackers. Are you one of them?","Sembra che ci siano degli esperti di computer tra gli umani.
Si chiamano... hacker, sei anche tu un hacker?",,"인간 중에는 컴퓨터 전문가가 있다는 모양이야.
해커…라고 부른다는데…너도 그런 건가?","Menschliche Computerexperten werden
Hacker genannt. Bist du einer?"
1222,,"Can you buy me a hat accessory? I want
to change my look sometimes.","Ehm, potresti comprarmi un accessorio per il cappello?
... Anche io a volte voglio divertirmi a vestirmi un po'.",,"이봐, 모자 액세서리를 사다주지 않겠나?
…가끔은 멋을 부리고 싶을 때가 있다","Kannst du mir eine Kopfbedeckung
kaufen? Ich will mal anders aussehen."
1226,,"I was wondering, are you a good student
at school?","Sono un po' preoccupato, hai studiato diligentemente a scuola?",,"조금 신경쓰이는데 너는 학교에서 제대로
공부하는 건가?","Ich würde gern wissen, ob du gut in
der Schule bist."
1309,,"If I had hacking skills, I could develop
like a pro. Please teach me!","Sei un hacker, giusto? Con le abilità di un hacker,
anche gli sviluppatori possono essere sconfitti facilmente, no? Insegnami il trucco!",,"너, 해커였지? 해커 기술이 있으면
개발도 쉽겠지. 나한테도 요령을 알려줘!","Wenn ich Hacken könnte, würde ich mich
schnell entwickeln. Bring es mir bei!"
1322,,"I've got a favor to ask. I want a cool
hat. Please buy me one!","Ehi, ho una cosa da chiederti. Voglio un accessorio per cappello figo... Per favore, compralo per me!",,"이봐, 너한테 부탁이 있어. 멋진 모자 액세서리를
갖고 싶거든…부탁해, 사다줘!","Ich will dich um einen Gefallen bitten.
Bitte kauf mir eine coole Kopfbedeckung!"
1326,,"This may seem like a weird question, but
do you go to school?","Ehm, anche se è un po' improvviso... sei davvero andato a scuola regolarmente?",,"이봐, 당연한 질문이겠지만…넌 학교에 제대로
다니고 있는 거야?","Vielleicht ist das eine seltsame Frage,
aber gehst du zur Schule?"
1409,,"You're a hacker, right? Hackers are
special. I hope you can teach me things.","Sei un hacker, giusto? Ho sentito dire che gli hacker hanno delle abilità speciali,
spero tu possa insegnarmele.",,"너는 해커지? 해커는 특수한 기술을 쓴다고
들었는데 이것저것 가르쳐줘.","Du bist ein Hacker, oder? Hacker sind
was Besonderes. Bitte bring mir was bei."
1422,,"I heard they sell stylish accessories
called hats. I wish I had one.","Ehm, ho sentito dire che vendono accessori alla moda.
Sembra siano cappelli... fantastico, li vorrei tanto～",,"있잖아, 화려한 액세서리를 팔고있다고 들었어.
모자였는데…좋겠다아, 갖고싶다아~","Ich habe von modischen Accessoires wie
Kopfbedeckungen gehört. Ich will eine."
1426,,"I want to ask you something. Is school
fun?","A proposito, volevo chiederti una cosa.
Ti piace andare a scuola?",,"맞아, 묻고 싶은 게 있는데.
너는 학교 다니는게 재미있어?","Ich möchte dich etwas fragen. Macht die
Schule Spaß?"
1509,,"You're a hacker, right? You must be
smart. Please teach me stuff.","Ehm, tu sei un hacker... vero? Gli hacker sono intelligenti, giusto?
La prossima volta, per favore, insegnami un sacco di cose.",,"저기, 너는 해커…였었지? 해커란 건
머리가 좋잖아? 다음에 이것저것 가르쳐줘.","Du bist ein Hacker, oder? Du bist sicher
schlau. Bitte bring mir was bei."
1522,,"Hey, can you buy me a hat accessory? I
want to make myself stand out!","Ascoltami, ascoltami! Puoi comprarmi cappelli e accessori?
Voglio diventare alla moda e distinguermi dagli altri Digimon!",,"저기저기, 모자 액세서리를 사다주지 않을래?
멋을 부려서 다른 디지몬과 처별화하고 싶으니까!","Kannst du mir eine Kopfbedeckung
kaufen? Ich will auffallen!"
1526,,"By the way, do you go to school?","A proposito, stai andando bene a scuola?",,"그러고보니 너는 학교엔 제대로
다니고 있어?",Gehst du eigentlich zur Schule?
