ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Ira del Drago,龍之憤怒,,용의 분노,Drachenzorn
2,,Difesa di ferro,鐵壁的守護,,철벽의 보호,Eiserne Verteidigung
3,,Saggezza Adroita,巧妙的智慧,,교묘한 계략,Scharfer Verstand
4,,Impulso Selvaggio,野性的鼓動,,야생의 고동,Wilder Impuls
5,,Centro Perfetto,百發百中,,백발백중,Adlerauge
6,,Finta,假動作,,페인트,Finte
7,,Montante,奮力的一擊,,혼신의 일격,Niedermähen
8,,Milite Primordiale,第一騎兵,,프라이멀 트루퍼,Ursoldat
9,,Ruggito del Drago,龍之怒吼,,드래곤즈 로어,Drachengebrüll
10,,Salvatori Profondi,深海救星,,딥 세이버즈,Rettung aus der Tiefe
11,,Spiriti della Natura,自然靈魂,,네이처 스피리츠,Naturgeister
12,,Impero di Metallo,鋼鐵帝國,,메탈 엠파이어,Leitfähigkeit
13,,Colosseo degli Animali,動物競技場,,애니멀 콜로세움,Tierkolosseum
14,,Wind Guardians,風之守衛,,윈드 가디언즈,Windwächter
15,,Genoma della Giustizia,正義基因,,저스티스 게놈,Gerechtigkeitsgen
16,,Soldati dell'Incubo,惡夢軍團,,나이트메어 솔져스,Albtraumsoldaten
17,,Guardia Floreale,花朵守衛,,플라워 가드,Blütendeckung
18,,Concentrazione Suprema,心頭滅卻,,심두멸각,Maximale Konzentration
19,,Onde Paralizzanti,麻痺如水流,,저림 흘리기,Wellenbrecher
20,,Funzionalità completa,全天運作機器,,풀 가동 머신,Volle Funktionsfähigkeit
21,,Immobilità,屹立不搖,,부동,Beweglichkeit
22,,Alta Risoluzione,高畫質,,고화질,Hohe Auflösung
23,,Piume di Fenice,不死鳥之羽,,불사조의 날개,Phönixfedern
24,,Spine Velenose,劇毒的荊棘,,맹독의 가시,Giftdornen
25,,Danza Strana,奇異的舞蹈,,기괴한 춤,Seltsamer Tanz
26,,Commando Reale,皇家突擊隊,,로얄 커맨드,Königlicher Befehl
27,,Sonno negli Abissi Marini,深海的睡眠,,심해의 수면,Tiefseeschlaf
28,,Minaccia,威嚇,,위협,Bedrohung
29,,Imbroglione,魔術師,,트릭스타,Trickser
30,,Distruttore,破壞神,,파괴신,Zerstörer
31,,Unione della Giustizia,正義的團結,,정의의 결속,Bande der Gerechtigkeit
32,,Per Combattere un Altro Giorno,走為上策,,도망쳤지만 승리,Feigling
33,,Bonus Platino,白金紅利,,플라티나 보너스,Platinbonus
34,,Milionario,百萬富翁,,밀리어네어,Millionär
35,,Perlustra,撿拾,,픽업,Plündern
36,,Analizza,分析,,애널라이즈,Analysieren
37,,Protezione Fatata,妖精的庇佑,,요정의 가호,Feenschutz
38,,Squama Misteriosa,不可思議的鱗片,,이상한 비늘,Geheimnisvolle Schuppe
39,,Meditazione,冥想,,메디테이션,Meditation
40,,Amore Oceanico,海洋之愛,,오션 러브,Liebesattacke
41,,Holy Ring,神聖環,,홀리링,Heiliger Ring
42,,Accampamento Isolato,背水之陣,,배수진,Ausgleich
43,,Combatti o Fuggi,火災現場的怪力,,위급한 순간의 저력,Kampf oder Flucht
44,,Tuta Scimmia Muscolosa,強化猴子裝,,강화 원숭이슈츠,Muskelaffen-Anzug
45,,Eremita Solitario,孤高的隱士,,고고한 은자,Einsiedler
46,,Rapidità,神速,,신속,Wendigkeit
47,,Caledfwlch Dive,卡里德福洛斯,,칼라드볼그,Caledfwlch-Sprung
48,,Cavaliere Sacro,聖騎士,,성기사,Heiliger Ritter
49,,Cavaliere d'Ossidiana,漆黑的騎士,,칠흑의 기사,Obsidianritter
50,,Disposizione del Master,師父的氣概,,사부의 고집,Meisterliches Talent
51,,Fortificazione Ferrea,鐵壁要塞,,철벽요새,Eiserne Festung
52,,Protezione Mistica,神祕的守護,,신비한 가호,Mystischer Schutz
53,,Tuttofare,萬能,,올라운더,Alleskönner
54,,Esperto del Chaos,混沌專家,,카오스 엑스퍼트,Chaosexperte
55,,Wyvern,飛龍,,비룡,Lindwurm
56,,Strategista,戰略家,,전략가,Stratege
57,,Modalità Leopard,獵豹型態,,레오파드 모드,Leopardenmodus
58,,Senso della Battaglia,戰鬥天分,,배틀센스,Kampfgespür
59,,Miracolo,奇蹟,,기적,Wunder
60,,Crudeltà Ineguagliabile,冷酷無情,,냉혹무비,Unerreichte Grausamkeit
61,,Ira,憤怒,,분노,Zorn
62,,Avidità,貪婪,,탐욕,Gier
63,,Golosità,暴食,,폭식,Völlerei
64,,Pigrizia,怠惰,,나태,Faulheit
65,,Ululato Furioso,憤怒的咆哮,,분노의 포효,Wütendes Heulen
66,,Invidia,嫉妒,,질투,Neid
67,,Lussuria,色慾,,색욕,Begehren
68,,Orgoglio,傲慢,,오만,Hochmut
69,,Gehenna,磯漢那,,게헤나,Gehenna
70,,Modalità Drago,龍型態,,드래곤 모드,Drachenmodus
71,,Modalità Combattente,戰士型態,,파이터 모드,Kämpfermodus
72,,Salvezza Sacra,救世的護法,,구세의 호법,Heilige Erlösung
73,,Tattico del Mondo Parallelo,異世界的軍師,,이세계의 군사,Parallelwelt-Taktik
74,,Destino,命運,,운명,Schicksal
75,,Occhi Innocenti,天真無邪的眼眸,,순진무구한 눈동자,Unschuldiger Blick
76,,Aus Generics,超越平凡,,아우스 제네릭스,Aus-Generika
77,,Lama Baciata dalla Luna,月下冰刃,,월하빙인,Mondklinge
78,,Cuore Malvagio,惡魔之心,,이블 하트,Böses Herz
79,,Blaster,正電子砲,,양전자포,Blaster
80,,D-Brigata,Ｄ－軍團,,D-브리가드,D-Brigade
81,,Singolarità Instabile,不穩定特異,,불안정한 특이,Instabile Singularität
82,,Freyr,弗雷亞,,프레이아,Freyr
83,,Esplosione Lucente,閃爍爆裂,,샤이닝 버스트,Strahlender Stoß
84,,Mirage Burst,幻影爆破,,미라지 버스트,Mirage-Stoß
