ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1109,,"Forse diventerò un mago del computer se un
hacker me lo insegnasse. Tu lo sei, vero?","據說只要被叫駭客的人教過，就會變得
很會操作電腦耶！　你也是駭客對吧？",,"해커라는 인간에게 배우면 컴퓨터 다루는 
실력이 좋아진대! 너도 해커지?","Vielleicht werde ich ein Computergenie,
wenn ein Hacker wie du mich lehrt?"
1122,,"Ehi, comprami un accessorio! Voglio
un cappello alla moda!","好嘛好嘛，買飾品給我啦～！
我想要時髦的帽子～！",,"있잖아~ 액세서리 사줘사줘~!
멋진 모자같은 걸 갖고 싶어~!","He, kauf mir Accessoires! Ich will eine
schicke Kopfbedeckung!"
1126,,"Gli esseri umani studiano in luoghi chiamati scuole,
giusto? Tu vai a scuola?","那個那個，人類是在學校這地方學習的對吧。
你有去學校嗎？",,"저기저기, 인간은 학교란 곳에서 공부하지?
너도 학교에 다니고 있어?","Menschen lernen in Schulen, oder? Gehst
du zur Schule?"
1209,,"Ho sentito che gli esperti di computer
umani sono chiamati hacker. Sei uno di loro?","人類裡好像有電腦專家喔。
好像是叫……駭客，你也是駭客嗎？",,"인간 중에는 컴퓨터 전문가가 있다는 모양이야.
해커…라고 부른다는데…너도 그런 건가?","Menschliche Computerexperten werden
Hacker genannt. Bist du einer?"
1222,,"Puoi comprarmi un accessorio come
un cappello? Voglio cambiare look ogni tanto.","那個，你能買帽子的飾品給我嗎？
……偶爾也會有想享受打扮一下的時候。",,"이봐, 모자 액세서리를 사다주지 않겠나?
…가끔은 멋을 부리고 싶을 때가 있다","Kannst du mir eine Kopfbedeckung
kaufen? Ich will mal anders aussehen."
1226,,"Mi chiedevo, sei un bravo
studente a scuola?",我有點在意，你真的有在學校好好讀書嗎？,,"조금 신경쓰이는데 너는 학교에서 제대로
공부하는 건가?","Ich würde gern wissen, ob du gut in
der Schule bist."
1309,,"Se avessi capacità di hacking, potrei crescere
come un professionista. Per favore, insegnami!","你是駭客對吧？　只要有駭客的技術，
就算是開發人員也能簡單打倒吧。教教我訣竅吧！",,"너, 해커였지? 해커 기술이 있으면
개발도 쉽겠지. 나한테도 요령을 알려줘!","Wenn ich Hacken könnte, würde ich mich
schnell entwickeln. Bring es mir bei!"
1322,,"Ho un favore da chiederti. Voglio un
bel cappello. Per favore, compramene uno!","喂，我有事要拜託你。我想要帥氣的
帽子飾品……拜託你，買給我吧！",,"이봐, 너한테 부탁이 있어. 멋진 모자 액세서리를
갖고 싶거든…부탁해, 사다줘!","Ich will dich um einen Gefallen bitten.
Bitte kauf mir eine coole Kopfbedeckung!"
1326,,"Potrebbe sembrare una domanda
strana, ma vai a scuola?",嗚，雖然很突然……你真的有好好去上學嗎？,,"이봐, 당연한 질문이겠지만…넌 학교에 제대로
다니고 있는 거야?","Vielleicht ist das eine seltsame Frage,
aber gehst du zur Schule?"
1409,,"Sei un hacker, vero? Gli hacker sono
speciali. Spero che tu possa insegnarmi qualcosa.","你是駭客對吧？　我聽說駭客有特殊的技能，
希望你能教我啊。",,"너는 해커지? 해커는 특수한 기술을 쓴다고
들었는데 이것저것 가르쳐줘.","Du bist ein Hacker, oder? Hacker sind
was Besonderes. Bitte bring mir was bei."
1422,,"Ho sentito che vendono accessori alla
moda chiamati cappelli. Vorrei averne uno.","那個，我聽說有在賣時髦的飾品。
好像是帽子……真好，好想要喔～",,"있잖아, 화려한 액세서리를 팔고있다고 들었어.
모자였는데…좋겠다아, 갖고싶다아~","Ich habe von modischen Accessoires wie
Kopfbedeckungen gehört. Ich will eine."
1426,,"Vorrei chiederti una cosa. La scuola
è divertente?","對了，我有事想問你。
你去上學開心嗎？",,"맞아, 묻고 싶은 게 있는데.
너는 학교 다니는게 재미있어?","Ich möchte dich etwas fragen. Macht die
Schule Spaß?"
1509,,"Sei un hacker, vero? Devi essere
intelligente. Per favore, insegnami qualcosa.","那個，你是駭客……對吧？　駭客很聰明吧？
下次請教我各種事情喔。",,"저기, 너는 해커…였었지? 해커란 건
머리가 좋잖아? 다음에 이것저것 가르쳐줘.","Du bist ein Hacker, oder? Du bist sicher
schlau. Bitte bring mir was bei."
