ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Ripristina 250 HP a un alleato.,回復我方單體250HP,,아군 1마리의 HP를 250 회복한다.,Stellt 250 TP eines Verbündeten wieder her.
2,,Ripristina 750 HP a un alleato.,回復我方單體750HP,,아군 1마리의 HP를 750 회복한다.,Stellt 750 TP eines Verbündeten wieder her.
3,,Ripristina completamente gli HP di un alleato.,回復我方單體所有HP,,아군 1마리의 HP를 완전 회복한다.,Stellt alle TP eines Verbündeten wieder her.
4,,"Ripristina 500 HP per tutti gli alleati
(si applica ai Digimon in battaglia durante la battaglia).","回復我方全體500HP
（戰鬥時僅限戰鬥成員）",,"아군 전체의 HP를 500 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 500 TP aller Verbündeten wieder her
(gilt für kämpfende Digimon)."
5,,"Ripristina 1000 HP per tutti gli alleati
(si applica ai Digimon da battaglia in combattimento).","回復我方全體1000HP
（戰鬥時僅限戰鬥成員）",,"아군 전체의 HP를 1000 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 1000 TP aller Verbündeten wieder
her (gilt für kämpfende Digimon)."
6,,"Ripristina completamente gli HP per tutti gli alleati
(si applica ai Digimon in battaglia durante la battaglia).","回復我方全體所有HP
（戰鬥時僅限戰鬥成員）",,"아군 전체의 HP를 완전 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt alle TP aller Verbündeten wieder her
(gilt für kämpfende Digimon)."
7,,Ripristina 30 SP per un alleato.,回復我方單體30SP,,아군 1마리의 SP를 30 회복한다.,Stellt 30 SP eines Verbündeten wieder her.
8,,Ripristina 90 SP per un alleato.,回復我方單體90SP,,아군 1마리의 SP를 90 회복한다.,Stellt 90 SP eines Verbündeten wieder her.
9,,Ripristina completamente gli SP di un alleato.,回復我方單體所有SP,,아군 1마리의 SP를 완전 회복한다.,Stellt alle SP eines Verbündeten wieder her.
10,,"Ripristina 60 SP per tutti gli alleati
(si applica ai Digimon da battaglia in battaglia).","回復我方全體60SP
（戰鬥時僅限戰鬥成員）",,"아군 전체의 SP를 60 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 60 SP aller Verbündeten wieder
her (gilt für kämpfende Digimon)."
11,,"Ripristina completamente i SP di tutti gli alleati
(si applica ai Digimon da battaglia in battaglia).","回復我方全體所有SP
（戰鬥時僅限戰鬥成員）",,"아군 전체의 SP를 완전 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt alle SP aller Verbündeten wieder
her (gilt für kämpfende Digimon)."
12,,"Ripristina il 50% di HP e SP per tutti gli alleati
(si applica ai Digimon da battaglia in battaglia).","回復我方全體50%HP和SP
（戰鬥時僅限戰鬥成員）",,"아군 전체의 HP와 SP를 50% 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 50 % d. TP & SP aller Verbündeten
wieder her (gilt für kämpfende Digimon)."
13,,"Ripristina completamente HP e SP per tutti gli alleati
(si applica ai Digimon in battaglia durante la battaglia).","回復我方全體所有HP和SP
（戰鬥時僅限戰鬥成員）",,"아군 전체의 HP와 SP를 완전 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt alle TP & SP aller Verbündeten
wieder her (gilt für kämpfende Digimon)."
14,,"Rimuove Veleno da un alleato
e ripristina 100 HP.","解除我方單體的劇毒
並回復100HP",,"아군 1마리의 맹독을 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Gift auf
und stellt 100 TP wieder her."
