ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3045,,"Nuovo, mondo, luce",新的、世界、光,,"새로운, 세계, 빛","Neu, Welt, Licht ..."
2,3045,,"Speranza, sogno, avventura",希望、夢、冒險,,"희망, 꿈, 모험","Hoffnung, Traum, Abenteuer ..."
3,3045,,"Sento, io, voglio andare, voglio vivere",我、感覺到了、想要去那裡、想活下去,,"느껴져, 나, 가고 싶어, 살고 싶어","Fühle, ich, will gehen, will leben ..."
4,3045,,"Ampio, lontano, oltre, ovunque",開闊、遙遠、另一邊、無邊無際,,"넓게, 멀리, 저편, 어디까지나","Weit, entfernt, darüber hinaus, irgendwo ..."
5,3045,,"Ragazzi, io, sento.",大家、我、感覺到了,,"모두, 나, 느껴져","Alle, ich, fühlen ..."
6,3045,,"Amore, famiglia, dove appartengo.",最喜歡的、家人、棲身之地,,"좋아해, 가족, 집","Liebe, Familie, wo ich hingehöre ..."
7,3045,,"Io, qui, mondo elettronico",我、在這、電子世界,,"나, 여기, 전자의 세계","Ich, hier, elektronische Welt ..."
8,3045,,"Libertà, felice, non doloroso",自由、快樂、沒有痛楚,,"자유, 즐거워, 아프지 않아","Freiheit, glücklich, keine Schmerzen ..."
9,3045,,"Non resistente, non pesante, inutile, ma",不難受、不沉重、不行、可是,,"괴롭지 않아, 무겁지 않아, 안 돼, 하지만","Nicht heftig, nicht schwer, nicht gut, aber ..."
10,3045,,"Corpo, luce, vola",身體、輕快、要飛起來了,,"몸, 가볍게, 날아가","Körper, leicht, fliegen ..."
11,3045,,"Rinascita, un nuovo me",重新誕生、全新的我,,"다시 태어나, 새로운 나","Wiedergeburt, neues Ich ..."
