ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Farm Island","農場島","","팜 섬","Farminsel"
2,"","Add Islands","增加島嶼","","섬을 늘린다","Weitere Inseln"
10,"","Command","下達指令","","지시한다","Befehl"
11,"","Change Leader","變更隊長","","리더 변경","Anführer ändern"
12,"","Farm Goods","農場道具","","팜 굿즈","Farmprodukte"
13,"","Farm Expansion","島嶼擴張","","팜 확장","Farmerweiterung"
14,"","Rank ","位階","","랭크","Rang "
15,"","MAX","MAX","","MAX"," MAX."
20,"","x","×","","x","x"
21,"","+","尚餘","","후","+"
22,""," m","分","","분"," m."
23,"","","即可＋1個","","에서+1개",""
30,"","+","尚餘","","앞으로","+"
31,"","Training +","特訓中　尚餘","","특훈 중 앞으로","Training +"
32,"","Developing +","開發中　尚餘","","개발 중 앞으로","Entwick. +"
33,"","Investigating  +","調查中　尚餘","","조사 중 앞으로","Ermittl. +"
34,"","Standby","待機中","","대기 중","Stand-by"
35,"",": ","：","",": ",": "
40,"","Lv. ","Lv.","","Lv. ","Lv. "
41,"","(Max Lv. %s)","（Max Level %s）","","(최대 Lv. %s)","(Max. Lv. %s)"
42,"","(Max Lv. ","（Max Level","","(최대 Lv. ","(Max. Lv. "
43,"",")","）","",")",")"
50,"","Get Received Items","領取收到的道具","","도착한 아이템을 받는다","Items erhalten"
51,"","Sell Items and Exit","販賣道具後結束","","아이템을 매각하고 종료","Verkaufen & beenden"
60,"","Digimeat","數碼肉","","디지 고기","Digi-Fleisch"
100,"","Change","變更","","변경","Ändern"
101,"","Remove","卸下","","제외","Entf."
110,"","CAM","友情","","우정","KAM"
111,"","ABI","才能","","재능이 ","FÄH"
112,"","SKL","能力","","노력","FER"
113,"","&","與","","과","&"
114,"","Empty","Empty","","Empty","Leer"
