ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,"","Restores 250 HP for one ally.","回復我方單體250HP","","아군 1마리의 HP를 250 회복한다.","Stellt 250 TP eines Verbündeten wieder her."
2,"","Restores 750 HP for one ally.","回復我方單體750HP","","아군 1마리의 HP를 750 회복한다.","Stellt 750 TP eines Verbündeten wieder her."
3,"","Completely restores one ally's HP.","回復我方單體所有HP","","아군 1마리의 HP를 완전 회복한다.","Stellt alle TP eines Verbündeten wieder her."
4,"","Restores 500 HP for all allies
(applies to Battle Digimon in battle).","回復我方全體500HP
（戰鬥時僅限戰鬥成員）","","아군 전체의 HP를 500 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 500 TP aller Verbündeten wieder her
(gilt für kämpfende Digimon)."
5,"","Restores 1000 HP for all allies
(applies to Battle Digimon in battle).","回復我方全體1000HP
（戰鬥時僅限戰鬥成員）","","아군 전체의 HP를 1000 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 1000 TP aller Verbündeten wieder
her (gilt für kämpfende Digimon)."
6,"","Completely restores HP for all allies
(applies to Battle Digimon in battle).","回復我方全體所有HP
（戰鬥時僅限戰鬥成員）","","아군 전체의 HP를 완전 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt alle TP aller Verbündeten wieder her
(gilt für kämpfende Digimon)."
7,"","Restores 30 SP for one ally.","回復我方單體30SP","","아군 1마리의 SP를 30 회복한다.","Stellt 30 SP eines Verbündeten wieder her."
8,"","Restores 90 SP for one ally.","回復我方單體90SP","","아군 1마리의 SP를 90 회복한다.","Stellt 90 SP eines Verbündeten wieder her."
9,"","Completely restores one ally's SP.","回復我方單體所有SP","","아군 1마리의 SP를 완전 회복한다.","Stellt alle SP eines Verbündeten wieder her."
10,"","Restores 60 SP for all allies
(applies to Battle Digimon in battle).","回復我方全體60SP
（戰鬥時僅限戰鬥成員）","","아군 전체의 SP를 60 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 60 SP aller Verbündeten wieder
her (gilt für kämpfende Digimon)."
11,"","Completely restores SP for all allies
(applies to Battle Digimon in battle).","回復我方全體所有SP
（戰鬥時僅限戰鬥成員）","","아군 전체의 SP를 완전 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt alle SP aller Verbündeten wieder
her (gilt für kämpfende Digimon)."
12,"","Restores 50% of HP and SP for all allies
(applies to Battle Digimon in battle).","回復我方全體50%HP和SP
（戰鬥時僅限戰鬥成員）","","아군 전체의 HP와 SP를 50% 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt 50 % d. TP & SP aller Verbündeten
wieder her (gilt für kämpfende Digimon)."
13,"","Completely restores HP and SP for all allies
(applies to Battle Digimon in battle).","回復我方全體所有HP和SP
（戰鬥時僅限戰鬥成員）","","아군 전체의 HP와 SP를 완전 회복한다.
(배틀 시 배틀 멤버 한정)","Stellt alle TP & SP aller Verbündeten
wieder her (gilt für kämpfende Digimon)."
14,"","Removes Poison from one ally
and restores 100 HP.","解除我方單體的劇毒
並回復100HP","","아군 1마리의 맹독을 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Gift auf
und stellt 100 TP wieder her."
15,"","Removes Confusion from one ally
and restores 100 HP.","解除我方單體的混亂
並回復100HP","","아군 1마리의 혼란을 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Verwirrung
auf und stellt 100 TP wieder her."
16,"","Removes Paralysis from one ally
and restores 100 HP.","解除我方單體的麻痺
並回復100HP","","아군 1마리의 마비를 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Lähmung auf
und stellt 100 TP wieder her."
17,"","Removes Sleep from one ally
and restores 100 HP.","解除我方單體的睡眠
並回復100HP","","아군 1마리의 수면을 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Schlaf auf
und stellt 100 TP wieder her."
18,"","Removes Stun from one ally
and restores 100 HP.","解除我方單體的暈眩
並回復100HP","","아군 1마리의 스턴을 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Betäubung auf
und stellt 100 TP wieder her."
19,"","Removes Dot from one ally
and restores 100 HP.","解除我方單體的液晶化
並回復100HP","","아군 1마리의 액정화를 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Verpixelung
auf und stellt 100 TP wieder her."
20,"","Removes Bug from one ally
and restores 100 HP.","解除我方單體的Bug
並回復100HP","","아군 1마리의 버그를 해제하고
HP를 100 회복한다.","Hebt bei einem Verbündeten Fehler auf
und stellt 100 TP wieder her."
21,"","Removes abnormal statuses from one ally
and restores 100 HP.","解除我方單體的異常狀態
並回復100HP","","아군 1마리의 상태이상을 해제하고
HP를 100 회복한다.","Heilt einen Verbündeten von Statusleiden
und stellt 100 TP wieder her."
22,"","Removes abnormal statuses from all
fighting Digimon and restores 100 HP.","解除全體戰鬥成員的異常狀態
並回復100HP","","배틀 멤버 전체의 상태이상을 해제하고
HP를 100 회복한다.","Heilt alle Verbündeten von Statusleiden
und stellt 100 TP wieder her."
23,"","Revives one ally at 50% max HP.","回復我方單體的無法戰鬥狀態
並回復50%HP","","아군 1마리의 전투불능을 회복하고
HP를 50% 회복한다.","Belebt einen Verbündeten mit 50 % der
maximalen TP wieder."
24,"","Revives one ally at full HP.","回復我方單體的無法戰鬥狀態
並回復所有HP","","아군 1마리의 전투불능을 회복하고
HP를 완전 회복한다.","Belebt einen Verbündeten mit vollen TP
wieder."
25,"","Revives all fighting Digimon at full HP.","回復全體戰鬥成員的無法戰鬥狀態
並回復所有HP","","배틀 멤버 전체의 전투불능을 회복하고
HP를 완전 회복한다.","Belebt alle Digimon mit vollen TP
wieder."
26,"","Raises one ally's ATK by 20%
for 5 turns in battle.","戰鬥時，使我方單體的
ATK提升20% 5回合。","","배틀 시 5턴 동안
아군 1마리의 공격력이 20% 상승한다.","Erhöht ANG eines Verbündeten im Kampf
5 Züge lang um 20 %."
27,"","Raises one ally's DEF by 20%
for 5 turns in battle.","戰鬥時，使我方單體的
DEF提升20% 5回合。","","배틀 시 5턴 동안
아군 1마리의 방어력이 20% 상승한다.","Erhöht VER eines Verbündeten im Kampf
5 Züge lang um 20 %."
28,"","Raises one ally's INT by 20%
for 5 turns in battle.","戰鬥時，使我方單體的
INT提升20% 5回合。","","배틀 시 5턴 동안
아군 1마리의 지력이 20% 상승한다.","Erhöht INT eines Verbündeten im Kampf
5 Züge lang um 20 %."
29,"","Raises one ally's SPD by 20%
for 5 turns in battle.","戰鬥時，使我方單體的
SPD提升20% 5回合。","","배틀 시 5턴 동안
아군 1마리의 민첩이 20% 상승한다.","Erhöht GES eines Verbündeten im Kampf
5 Züge lang um 20 %."
30,"","Raises one ally's ACU by 20%
for 5 turns in battle.","戰鬥時，使我方單體的
ACU提升20% 5回合。","","배틀 시 5턴 동안
아군 1마리의 명중률이 20% 상승한다.","Erhöht GEN eines Verbündeten im Kampf
5 Züge lang um 20 %."
31,"","Raises one ally's EVA by 20%
for 5 turns in battle.","戰鬥時，使我方單體的
EVA提升20% 5回合。","","배틀 시 5턴 동안
아군 1마리의 회피율이 20% 상승한다.","Erhöht AWN eines Verbündeten im Kampf
5 Züge lang um 20 %."
32,"","Raises one ally's CRT by 20%
for 5 turns in battle.","戰鬥時，使我方單體的
CRT提升20% 5回合。","","배틀 시 5턴 동안 아군 1마리의
크리티컬 발생 확률이 20% 상승한다.","Erhöht KRT eines Verbündeten im Kampf
5 Züge lang um 20 %."
33,"","Escape from battle.","從戰鬥中逃脫","","배틀에서 도망친다.","Fliehe aus dem Kampf."
50,"","+2,500 EXP for one Digimon","單體數碼寶貝+2500 EXP","","디지몬 1마리에 +2500EXP","+2.500 EP für ein Digimon."
51,"","+5,000 EXP for one Digimon","單體數碼寶貝+5000 EXP","","디지몬 1마리에 +5500EXP","+5.000 EP für ein Digimon."
52,"","+10,000 EXP for one Digimon","單體數碼寶貝+10000 EXP","","디지몬 1마리에 +10000EXP","+10.000 EP für ein Digimon"
53,"","+20,000 EXP for one Digimon","單體數碼寶貝+20000 EXP","","디지몬 1마리에 +20000EXP","+20.000 EP für ein Digimon"
54,"","+40,000 EXP for one Digimon","單體數碼寶貝+40000 EXP","","디지몬 1마리에 +40000EXP","+40.000 EP für ein Digimon"
55,"","Increases CAM by 10.","友情值提升10","","우정치를 10 상승시킨다.","Erhöht KAM um 10."
56,"","Increases CAM by 25.","友情值提升25","","우정치를 25 상승시킨다.","Erhöht KAM um 25."
57,"","Can be used to return to your base instantly.","可以在一瞬間回到據點入口","","순식간에 거점으로 돌아갈 수 있다.","Damit kannst du sofort zum Unterschlupf
zurückkehren."
