ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3045,,"Ahi..., ahi, ahi!",好痛……好痛、好痛！,,"아파…, 아파, 아파!","Autsch ... autsch, autsch!"
2,3045,,"Ho paura... Ho paura, ho paura!",好可怕……好可怕、好可怕！,,"무서워…, 무서워, 무서워!","Ich habe Angst ... Ich habe Angst, ich habe Angst!"
3,3045,,"Perché..., Perché?, Perché?!",為什麼……為什麼？　為什麼！？,,"왜…, 왜? 왜!?",Warum ... Warum? Warum?
4,3045,,"Caldo, freddo, stretto",好熱、好冷、好窄,,"뜨거워, 차가워, 좁아","Heiß, kalt, verkrampft ..."
5,3045,,"Oscuro, freddo, doloroso",好黑、好冰、好難受,,"어두워, 추워, 괴로워","Dunkel, kalt, schmerzhaft ..."
6,3045,,"Padre, madre",爸爸、媽媽,,"아빠, 엄마","Vater, Mutter ..."
7,3045,,Dove? Dove? Dove? Dove sono?,在哪？　在哪裡？　哪裡？　我在哪裡？,,"어디? 어디? 어디? 나는, 어디?",Wo? Wo? Wo? Wo bin ich?
8,3045,,"Testa, fa male, corpo, caldo...!",頭、好痛、身體、好熱……！,,"머리, 아파, 몸, 뜨거워…!","Kopf, tut weh, Körper, heiß ...!"
9,3045,,"Aiuto, aiuto, aiuto...!",救我、救我、救我……！,,"살려줘, 살려줘, 살려줘…!","Hilf mir, hilf mir, hilf mir ...!"
10,3045,,"Fratello, Fratello, Fratello...!",哥哥、哥哥、哥哥……！,,"오빠, 오빠, 오빠…!","Bruder, Bruder, Bruder ...!"
11,3045,,"Che male, che caldo, che paura...!",好痛喔、好熱喔、好可怕喔……！,,"아파, 뜨거워, 무서워……!","Das tut weh, das ist heiß, das macht Angst ...!"
