ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,3028,,"Oho, quindi mi hai notato qui... Bravo!
Sono Victory Uchida! Il mio sogno è diventare CEO!","呵呵呵……真虧你能察覺到我的存在呢……
我叫做維克托里‧內田！
我未來的夢想是成為社長！",,"크크크… 용케도 내 존재를 눈치챘군….
내 이름은 빅토리 우치다!
장래에는 사장이 되는 게 꿈이야!","Aha, du hast mich also bemerkt ... Gut gemacht!
Ich bin Viktor Uchida und träume davon, ein
Geschäftsführer zu werden!"
101,3028,,"Mi sembra che tu abbia quello che serve per fare il botto, anche tu.
Ti darò questo per dimostrarti il mio rispetto.","總覺得你未來也會成為大人物呢……
為了向那個可能性致敬，就給你這個吧。",,"너도 BIG한 인물이 될 것 같은 느낌이 들어….
그 가능성에 경의를 표하며 이걸 주지","Ich denke, du hast auch das Zeug dazu, ganz groß
rauszukommen. Ich gebe dir das hier als
Zeichen meines Respekts."
150,3028,,"Pensi di potermi trovare di nuovo?
Ti aspetterò! Alla vittoria!!!","你下次也有辦法找到我嗎？
我很期待與你相會哦！Victory！！",,"다음번에도 우치다를 찾아낼 수 있을까?
기대할게! 빅토리!!","Meinst du, du findest mich wieder?
Ich warte auf dich!
Ich werde gut v-v-versteckt sein!"
200,3028,,"V-v-v-vittoria!
Grazie per avermi trovato--Victory Uchida!","VVVVictory！
謝謝你找到維克托里‧內田我！",,"비비비, 빅토리―!
빅토리 우치다를 찾아내 줘서 고마워!","V-v-verflixt gut gemacht!
Danke, dass du mich gefunden hast –
ich bin Viktor Uchida!"
201,3028,,"È stato facile individuarmi tra questa folla?
Bene, ecco un premio per avermi trovato!","即使是在人群中，我也很好找對吧？
找到我的獎勵就是這個哦！",,"인파 속이여도 우치다를 찾기 쉬웠지?
우치다를 찾아낸 보상은 이거야!","Hast du mich in dieser Menge leicht gefunden?
Hier ist jedenfalls dein Preis!"
250,3028,,Alla prossima! V per me!!!,再會啦！VV！！,,또 봐―! 브이브이!!,"Bis zum nächstem Mal!
Schau nach dem „V“!"
300,3028,,"Whoo, Kowloon è un po' spaventosa...
Ma la strada per CEO è piena di terrori!
Quindi va bene! ...Spero.","噫……Kowloon有點可怕，
不過這也是為了成為社長……噫，Victory！",,"히, 히익… 쿠롱은 조금 무섭지만…
이것도 사장이 되기 위해서야… 히이익 빅토리―!","Uff, Kowloon ist ganz schön unheimlich ...
Aber der Weg zum Geschäftsführer ist steinig!
Ist also schon in Ordnung. Hoffe ich."
301,3028,,"C-comunque, ecco il regalo di oggi!",今、今天的禮物是這個～！,,"오, 오늘 선물은 이거야―!",Hier ist jedenfalls dein Geschenk für heute!
350,3028,,"E con questo, me ne vado!
La prossima volta sarò più difficile da trovare, giusto per farti sapere!","這次就這樣放過你了！
你下次一定找不到我的！",,"이번에는 이걸로 봐 주겠어―!
다음번에야말로 들키지 않겠어―!","Und jetzt muss ich auch schon weg! Nächstes Mal
bin ich nicht so leicht zu finden, damit du’s
weißt!"
400,3028,,"Immaginavo che mi avresti trovato, un tipo importante come me,
in mezzo a tutti questi grandi edifici? Beh, avevi ragione!","你是猜測身為大人物的我會置身於偉大的
建築物裡對吧！你答對了！",,"BIG한 건물에 BIG한 우치다가 있을 거라고
짐작한 거구나! 대정답이야!","Hast du dir gedacht, dass du jemand Wichtigen wie
mich bei diesen Wolkenkratzern findest?
Na, recht hattest du!"
401,3028,,Ecco un grande regalo!,我要送給這樣的你一份大禮！,,그런 너에게는 BIG한 선물!,Hier ist ein großes Geschenk!
450,3028,,Alla prossima! V per me!!!,再會啦！VV！！,,또 봐―! 브이브이!!,"Bis zum nächstem Mal!
Schau nach dem „V“!"
500,3028,,"V-v-v-vittoria! Mi hai trovato di nuovo!
L'unico, l'inimitabile, Victory Uchida!","VVVVictory！被找到啦！
我是維克托里‧內田！",,"비비비, 빅토리―! 들켜 버렸네!
빅토리 우치다야!","V-V-Viktor sticht stets hervor! Du hast mich
wieder gefunden! Ich bin der einzig wahre
Viktor Uchida!"
501,3028,,Il regalo di oggi è... rullo di tamburi... questo!,這次的禮物是這個！,,이번 선물은 이거야―!,"Dein heutiges Geschenk ist ... *Trommelwirbel* ...
Das hier!"
550,3028,,"Non mi troverai la prossima volta, impossibile!
La grande V andrà a Uchida!","你下次一定找不到我的！
內田是Big Victory！！",,"다음번에야말로 들키지 않겠어―!
우치다는 BIG하게 빅토리―!!","Nächstes Mal findest du mich nicht!
Das große Vau ist ganz schön schlau!"
600,3028,,"Sono io, Victory Uchida!
Eh? Vuoi avere la mia stessa fantastica pettinatura?","我是維克托里‧內田！
咦？你想弄跟我一樣的髮型？",,"빅토리 우치다야!
에? 우치다랑 같은 머리 모양이 되고 싶다고?","Ich bin’s, Viktor Uchida!
Wie? Du willst die gleiche tolle Frisur wie ich?"
601,3028,,"Prova questo regalo, dovrebbe esserti della taglia giusta!
E questo è tutto--cerca di controllarti!","那個禮物我會先研究看看的！
今天就先拿這個忍耐一下吧！",,"그 선물은 검토해 볼게!
오늘은 이걸로 참아 줘!","Probier das Geschenk mal aus!
Mehr gibt’s auch nicht – nur nicht überschnappen!"
650,3028,,Viiiiittoriaaa!!!,Victory！！,,빅토리―!!,Viel Verzückung verschafft Viktor!!!
700,3028,,"V-v-v-vittoria!
Grazie per avermi trovato--Victory Uchida!","VVVVictory！
謝謝你找到維克托里‧內田我！",,"비비비, 빅토리―!
빅토리 우치다를 찾아내 줘서 고마워!","V-v-verflixt gut gemacht!
Danke, dass du mich gefunden hast –
ich bin Viktor Uchida!"
701,3028,,Scommetto che non vedevi l'ora del mio regalo!,你有越來越期待我的禮物了嗎？,,우치다의 선물이 기대되기 시작한 걸까?,"Du hast dich bestimmt schon auf mein Geschenk
gefreut!"
750,3028,,"Prova a trovarmi di nuovo, ok? VEEE!",下次也要把我找出來哦！Bye～！,,또 우치다를 찾아내 줘! 바~이!,"Versuche, mich wieder zu finden, ja?
Schau, schau, nach dem „V“!!"
