ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
100,3028,"","Oho, so you actually noticed me here... Good job!
I am Victory Uchida! My dream is to become CEO!","呵呵呵……真虧你能察覺到我的存在呢……
我叫做維克托里‧內田！
我未來的夢想是成為社長！","","크크크… 용케도 내 존재를 눈치챘군….
내 이름은 빅토리 우치다!
장래에는 사장이 되는 게 꿈이야!","Aha, du hast mich also bemerkt ... Gut gemacht!
Ich bin Viktor Uchida und träume davon, ein
Geschäftsführer zu werden!"
101,3028,"","I feel like you have what it takes to make it big,
too. I'll give you this to show my respect.","總覺得你未來也會成為大人物呢……
為了向那個可能性致敬，就給你這個吧。","","너도 BIG한 인물이 될 것 같은 느낌이 들어….
그 가능성에 경의를 표하며 이걸 주지","Ich denke, du hast auch das Zeug dazu, ganz groß
rauszukommen. Ich gebe dir das hier als
Zeichen meines Respekts."
150,3028,"","Think you can find me again?
I'll be waiting for you! To victory!!!","你下次也有辦法找到我嗎？
我很期待與你相會哦！Victory！！","","다음번에도 우치다를 찾아낼 수 있을까?
기대할게! 빅토리!!","Meinst du, du findest mich wieder?
Ich warte auf dich!
Ich werde gut v-v-versteckt sein!"
200,3028,"","V-v-v-victory!
Thanks for finding me--Victory Uchida!","VVVVictory！
謝謝你找到維克托里‧內田我！","","비비비, 빅토리―!
빅토리 우치다를 찾아내 줘서 고마워!","V-v-verflixt gut gemacht!
Danke, dass du mich gefunden hast –
ich bin Viktor Uchida!"
201,3028,"","Was it easy to pick me out of these crowds?
Well, here's a prize for finding me!","即使是在人群中，我也很好找對吧？
找到我的獎勵就是這個哦！","","인파 속이여도 우치다를 찾기 쉬웠지?
우치다를 찾아낸 보상은 이거야!","Hast du mich in dieser Menge leicht gefunden?
Hier ist jedenfalls dein Preis!"
250,3028,"","Til next time! V for me!!!","再會啦！VV！！","","또 봐―! 브이브이!!","Bis zum nächstem Mal!
Schau nach dem „V“!"
300,3028,"","Whoo, Kowloon is kinda scary...
But the road to CEO is filled with terrors!
So it's okay! ...I hope.","噫……Kowloon有點可怕，
不過這也是為了成為社長……噫，Victory！","","히, 히익… 쿠롱은 조금 무섭지만…
이것도 사장이 되기 위해서야… 히이익 빅토리―!","Uff, Kowloon ist ganz schön unheimlich ...
Aber der Weg zum Geschäftsführer ist steinig!
Ist also schon in Ordnung. Hoffe ich."
301,3028,"","A-anyway, here's today's present!","今、今天的禮物是這個～！","","오, 오늘 선물은 이거야―!","Hier ist jedenfalls dein Geschenk für heute!"
350,3028,"","And with that, I'm out! Next time I'll be harder
to find, just so you know!","這次就這樣放過你了！
你下次一定找不到我的！","","이번에는 이걸로 봐 주겠어―!
다음번에야말로 들키지 않겠어―!","Und jetzt muss ich auch schon weg! Nächstes Mal
bin ich nicht so leicht zu finden, damit du’s
weißt!"
400,3028,"","Figured you'd find a big name guy like me around
all these big buildings? Well, you were right!","你是猜測身為大人物的我會置身於偉大的
建築物裡對吧！你答對了！","","BIG한 건물에 BIG한 우치다가 있을 거라고
짐작한 거구나! 대정답이야!","Hast du dir gedacht, dass du jemand Wichtigen wie
mich bei diesen Wolkenkratzern findest?
Na, recht hattest du!"
401,3028,"","Here's a big present!","我要送給這樣的你一份大禮！","","그런 너에게는 BIG한 선물!","Hier ist ein großes Geschenk!"
450,3028,"","Til next time! V for me!!!","再會啦！VV！！","","또 봐―! 브이브이!!","Bis zum nächstem Mal!
Schau nach dem „V“!"
500,3028,"","V-v-v-victory! You found me again!
The one, the only, Victory Uchida!","VVVVictory！被找到啦！
我是維克托里‧內田！","","비비비, 빅토리―! 들켜 버렸네!
빅토리 우치다야!","V-V-Viktor sticht stets hervor! Du hast mich
wieder gefunden! Ich bin der einzig wahre
Viktor Uchida!"
501,3028,"","Today's present is...drumroll...this!","這次的禮物是這個！","","이번 선물은 이거야―!","Dein heutiges Geschenk ist ... *Trommelwirbel* ...
Das hier!"
550,3028,"","No way you'll find me next time!
The big V will go to Uchida!","你下次一定找不到我的！
內田是Big Victory！！","","다음번에야말로 들키지 않겠어―!
우치다는 BIG하게 빅토리―!!","Nächstes Mal findest du mich nicht!
Das große Vau ist ganz schön schlau!"
600,3028,"","It's me, Victory Uchida!
Huh? You want the same awesome hairstyle as me?","我是維克托里‧內田！
咦？你想弄跟我一樣的髮型？","","빅토리 우치다야!
에? 우치다랑 같은 머리 모양이 되고 싶다고?","Ich bin’s, Viktor Uchida!
Wie? Du willst die gleiche tolle Frisur wie ich?"
601,3028,"","Try this present on for size!
And that's all--try to contain yourself!","那個禮物我會先研究看看的！
今天就先拿這個忍耐一下吧！","","그 선물은 검토해 볼게!
오늘은 이걸로 참아 줘!","Probier das Geschenk mal aus!
Mehr gibt’s auch nicht – nur nicht überschnappen!"
650,3028,"","Viiiictoryyy!!!","Victory！！","","빅토리―!!","Viel Verzückung verschafft Viktor!!!"
700,3028,"","V-v-v-victory!
Thanks for finding me--Victory Uchida!","VVVVictory！
謝謝你找到維克托里‧內田我！","","비비비, 빅토리―!
빅토리 우치다를 찾아내 줘서 고마워!","V-v-verflixt gut gemacht!
Danke, dass du mich gefunden hast –
ich bin Viktor Uchida!"
701,3028,"","I bet you've been looking forward to my present!","你有越來越期待我的禮物了嗎？","","우치다의 선물이 기대되기 시작한 걸까?","Du hast dich bestimmt schon auf mein Geschenk
gefreut!"
750,3028,"","Try and find me again, 'kay? VEEE!","下次也要把我找出來哦！Bye～！","","또 우치다를 찾아내 줘! 바~이!","Versuche, mich wieder zu finden, ja?
Schau, schau, nach dem „V“!!"
800,3028,"","It's a day for Victory! ...If a strange one.
Things are looking pretty dire here in Tokyo...","東京的情況好像變得很糟糕，
不過我今天也要Victory！！！","","왠지 도쿄에 큰일이 났지만
오늘도 우치다는 빅토리―!!!","Ein v-v-verrückter Tag heute!
Das sieht gar nicht gut aus hier in Tokio ..."
801,3028,"","But it's times like this that spirit's more
important than ever! So take this!","像這種時候一定得打起精神才行呢！
來！收下這個吧！","","이런 때야말로 기운을 내야지!
자! 이걸 받아 줘!","Umso wichtiger, dass man positiv bleibt!
Also nimm das hier!"
850,3028,"","I, Uchida will always be waiting to challenge you!
V-I-C-T-O-R-Y!","我隨時歡迎你來挑戰！
Victory～～～～！！！","","우치다는 언제든지 너의 도전을 기다리고 있어!
빅토리――――!!!","Ich, Uchida, bin immer bereit, dich auf die Probe
zu stellen! Schau nach dem „V“!"
900,3028,"","(Heya, it's me, Victory Uchida!)","（喲，我是維克托里‧內田哦。）","","(안녕, 빅토리 우치다야)","(He, ich bin’s, Viktor Uchida!)"
901,3028,"","(Thanks for finding me!
This is for you.)","（謝謝你找到我，這個給你。）","","(우치다를 찾아내 줘서 고마워
이걸 줄게)","(Danke, dass du mich gefunden hast!
Das hier ist für dich.)"
950,3028,"","(You've gotta be quiet in a hospital!)","（在醫院裡必須保持安靜才行呢。）","","(디지몬에게 습격받지 않도록 조용히 해야지)","(Im Krankenhaus muss man leise sein!)"
1000,3028,"","Victorious greeting!!!","Victory Hello！！！！","","빅토리 헬로!!!!","Vertraute Grüße!!!"
1001,3028,"","Victorious gifting!!!","Victory Gift！！！！！！","","빅토리 기프트!!!!!!","Verzückende Geschenke!!!"
1050,3028,"","Victorious leaving!!!","Victory Goodbye！！！！","","빅토리 굿바이!!!!","Versonnene Verabschiedung!!!"
1100,3028,"","Today's present is my character song.","今天的禮物是我的角色歌曲！","","오늘 선물은 우치다의 캐릭터 송이야","Das heutige Geschenk ist mein Titelsong."
1101,3028,"","Veevee! Veeevee! Vic-to-ryyy U-chi-daaa!!!
Dadada! dadadadaaa!
Veevee, Victory! U! Chi! Da!!!","VV♪V～V♪維克托里～♪內田～♪
Papapaya♪Papaya～♪
維維、維克托里 ～♪♪內↓～田↑～♪","","브이브이♪ 브~이브이♪ 빅토리~♪ 우치다~♪
파파파얏♪ 팟파야~♪
비빅, 빅토리~♪♪ 우↑~ 치↓~ 다↑~♪","Vauvau! Vauvau! Viiiktooor U-chi-daaa!
Dadada! dadadadaaa!
Vertrau auf das „V“, U-chi-da!!!"
1150,3028,"","Vee, vee! Victory Uchidaaa!!!","維維～♪維克托里～‧內田～♪","","비빅~♪ 빅토리~ 우치다~♪","Vau, vau! Viktor Uchidaaa!!!"
1200,3028,"","It's me, Victory Uchida!
Thanks for finding me! V-V-V!","我是維克托里‧內田哦！
謝謝你找到我！VV！","","빅토리 우치다야!
찾아내 줘서 고마워! 브이브이!","Ich bin’s, Viktor Uchida!
Danke, dass du mich gefunden hast!
Schau nach dem „V“!"
1201,3028,"","And here's your prize for finding me!","找到我的獎勵是這個！","","우치다를 찾아낸 보상은 이거야!","Und hier ist dein Preis dafür!"
1250,3028,"","With all the cosplayers around Akihabara,
I can just melt into the background. Victory!","既然秋葉原有角色扮演者在，
那我也能跟背景融為一體呢！Victory！","","아키하바라에는 코스플레이어도 있으니까
우치다도 배경에 녹아들 수 있겠지! 빅토리―!","Bei den ganzen Cosplayern in Akihabara falle ich
gar nicht auf. Gewusst vie!"
1300,3028,"","Thanks for finding me!","謝謝你找到我！！","","우치다를 찾아내 줘서 고마워!!","Danke, dass du mich gefunden hast!"
1301,3028,"","Victory present!!","Victory Presents！！","","빅토리 선물!!","Ein veredeltes Geschenk!"
1350,3028,"","Next time I won't be so easy to spot!
Climactic victoryyyyy!!!","你下一次可不會那麼輕易就找到我囉！
Climax Victory！！","","다음 번에는 그렇게 간단히 들키지 않을 거야!
클라이맥스 빅토리이이이―!!","Nächstes Mal mach ich’s dir nicht so leicht!
V-V-Vertrackt!"
1400,3028,"","At last, you've found my final form...","你終於找到最後一個我了呢……","","결국 마지막 우치다를 찾아내 버렸네…","Endlich hast du meine endgültige Gestalt
gefunden ..."
1401,3028,"","This is the last present I have for you.
Take it.","這是最後一次
我能夠送你禮物的機會了……　收下吧。","","우치다가 너에게 선물을 주는 건
이게 마지막이야… 받아 줘","Das ist mein letztes Geschenk an dich.
Nimm es dir."
1450,3028,"","Before you go, let your voice rise with mine...
V-V-V...VICTORYYYYYYY!!!!!!","最後跟我一起高聲吶喊吧！
VVVVictory————！！！","","마지막은, 함께 힘껏 외치자
비비비… 빅토리이이이이이이이――――!!!","Sag es noch ein letztes Mal mit mir, bevor du
gehst ...
SEI SCHLAU, SCHAU AUF DAS „V“!!!"
