ID,Japanese,English,Chinese,EnglishCensored,Korean,German
100,"","Galacta Park, Kowloon","Kowloon的破銅爛鐵公園","","쿠롱의 잡동사니 공원","Galacta-Park, Kowloon"
120,"","Zaxon","Zaxon","","잭슨","Zaxon"
121,"","Account Raiding","帳號狩獵","","계정 사냥","Kontendiebstahl"
130,"","How to Get a girlfriend?","要怎麼樣才交得到女朋友","","어떻게 하면 여자친구가 생길까","Eine Freundin bekommen"
131,"","Mixer","聯誼","","미팅","Verabredung"
132,"","A Smile","笑容","","미소","Ein Lächeln"
133,"","Friend","朋友","","친구","Freund"
134,"","Digimon","數碼寶貝","","디지몬","Digimon"
150,"","Nile Corporation","尼羅河公司","","나일 코프","Nile Corporation"
160,"","Akihabara Disappearances","秋葉原神祕失蹤事件的失蹤者","","아키하바라 행방불명 실종자","Vermisste in Akihabara"
161,"","Florist Staff","花店店員","","꽃 가게 점원","Floristen-Personal"
240,"","Confused Man","精神錯亂的男子","","착란을 일으킨 남자","Verwirrter Mann"
300,"","Strange Pranks","微妙的惡作劇","","미묘한 장난","Seltsame Streiche"
400,"","Mysterious Digital Face","怪人數碼面相","","괴인 디지면상","Mysteriöses Cybergesicht"
401,"","Police-Hating Hacker","憎恨警察的駭客","","경찰을 증오하는 해커","Polizeihasser-Hacker"
500,"","Address of St. Erase","聖伊蕾絲學園的地址是？","","성 이레이즈 학원의 위치는?","Adresse von Sankt Tilger"
800,"","Present to Get the Girl","抓牢少女心的禮物","","소녀의 마음을 잡을 선물","Geschenk für das Mädchen"
801,"","Romantic Present","羅曼蒂克的禮物","","로맨틱한 선물","Romantisches Geschenk"
802,"","Simple is Good","簡單樸實的好東西","","소박하고 느낌이 좋은 것","Einfach und gut"
1400,"","Yuugo's Whereabouts","YUGO的行蹤","","유고의 행방","Yuugos Verbleib"
2500,"","Living Doll Club","Liviclu","","리비크러","Klub lebendiger Puppen"
2800,"","Pete","皮特","","피트","Pete"
2801,"","Yoshito Mizushima","水嶋嘉人","","미즈시마 요시토","Yoshito Mizushima"
2802,"","Miko","咪子","","미코","Miko"
3000,"","Digivolution","進化","","진화","Digitation"
3100,"","De-Digivolution","退化","","퇴화","De-Digitation"
3200,"","Unhappy Girl","心情不好的女孩","","기분이 좋지 않은 듯한 여자애","Unglückliches Mädchen"
3300,"","","","","","Unglückliches Mädchen"
3400,"","Mephisto","梅菲斯特先生","","메피스토씨","Mephisto"
3500,"","","","","","Mephisto"
3600,"","Mr. Navit","NAVIT","","내빗씨","Navit-san"
