ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,"Avatar del protagonista maschile di Cyber Sleuth
""Cyber Sleuth, sulla scena!"" /Avatar","網路偵探男主角的化身
「電腦偵探，在此登場！」／化身",,"사이버 슬루스의 남주인공 아바타
「전뇌탐정, 여기 등장!」/아바타","Avatar: Cyber-Detektiv, männ. Hauptfigur
„Cyber-Detektiv ist zur Stelle!“ /Avatar"
2,,"Avatar della Protagonista Femminile di Cyber Sleuth
""Inizio indagine!"" /Avatar","網路偵探女主角的化身
「電腦偵探，開始調查！」／化身",,"사이버 슬루스의 여주인공 아바타
「전뇌탐정, 조사 개시!」/아바타","Avatar: Cyber-Detektiv, weib. Hauptfigur
„Die Ermittlung geht los!“ /Avatar"
3,,"Avatar del protagonista maschile di Cyber Sleuth
""Cyber Sleuth, sul posto!"" /Avatar","網路偵探男主角的化身
「電腦偵探，在此登場！」／化身",,"사이버 슬루스의 남주인공 아바타
「전뇌탐정, 여기 등장!」/아바타","Avatar: Cyber-Detektiv, männ. Hauptfigur
„Cyber-Detektiv ist zur Stelle!“ /Avatar"
4,,"Avatar della protagonista femminile di Cyber Sleuth
""Inizio indagine!"" /Avatar","網路偵探女主角的化身
「電腦偵探，開始調查！」／化身",,"사이버 슬루스의 여주인공 아바타
「전뇌탐정, 조사 개시!」/아바타","Avatar: Cyber-Detektiv, weib. Hauptfigur
„Die Ermittlung geht los!“ /Avatar"
5,,"Avatar del protagonista maschile di Cyber Sleuth
""Cyber Sleuth, sulla scena!"" /Avatar","網路偵探男主角的化身
「電腦偵探，在此登場！」／化身",,"사이버 슬루스의 남주인공 아바타
「전뇌탐정, 여기 등장!」/아바타","Avatar: Cyber-Detektiv, männ. Hauptfigur
„Cyber-Detektiv ist zur Stelle!“ /Avatar"
6,,"Avatar della protagonista femminile di Cyber Sleuth
""Inizio delle indagini!"" /Avatar","網路偵探女主角的化身
「電腦偵探，開始調查！」／化身",,"사이버 슬루스의 여주인공 아바타
「전뇌탐정, 조사 개시!」/아바타","Avatar: Cyber-Detektiv, weib. Hauptfigur
„Die Ermittlung geht los!“ /Avatar"
7,,"Avatar del personaggio principale di Hacker's Memory
""Inizia l'hack!"" /Avatar","駭客追憶主角的化身
「入侵……開始！」／化身",,"해커스 메모리의 주인공 아바타
「해킹… 개시다!」/아바타","Avatar: Hauptfigur (Hacker's Memory)
„Das Hacken beginnt!“ /Avatar"
8,,"Avatar del personaggio principale di Hacker's Memory
""Inizia l'hack!"" /Avatar","駭客追憶主角的化身
「入侵……開始！」／化身",,"해커스 메모리의 주인공 아바타
「해킹… 개시다!」/아바타","Avatar: Hauptfigur (Hacker's Memory)
„Das Hacken beginnt!“ /Avatar"
9,,"Avatar del protagonista di Hacker's Memory
""Inizia l'hack!"" /Avatar","駭客追憶主角的化身
「入侵……開始！」／化身",,"해커스 메모리의 주인공 아바타
「해킹…개시다!」/아바타","Avatar: Hauptfigur (Hacker's Memory)
„Das Hacken beginnt!“ /Avatar"
10,,"Avatar di Yuugo
""Che tipo di hacker sarai?"" /Avatar","YUGO的化身
「你想成為哪種駭客呢？」／化身",,"유고의 아바타
「넌, 어떤 해커가 되고 싶어?」/아바타","Avatar: Yuugo
„Wie wirst du als Hacker sein?“ /Avatar"
11,,"Avatar di Nokia Shiramine
""Ribelli, a me!"" /Avatar","白峰諾奇雅的化身
「反叛者，集合啦～！」／化身",,"시라미네 노키아의 아바타
「리벨리온즈, 집합이니라~!!」/아바타","Avatar: Nokia Shiramine
„Rebels, zu mir!“ /Avatar"
12,,"Avatar di Yuuko Kamishiro
""...Ti piace questo?"" /Avatar","神代悠子的化身
「……你喜歡那個嗎？」／化身",,"카미시로 유코의 아바타
「……좋아하시나요, 그거」/아바타","Avatar: Yuuko Kamishiro
„... Magst du die?“ /Avatar"
13,,"Avatar di Arata Sanada (Cappuccio Alzato)
""Piacere di conoscerti e tutto il resto."" /Avatar","真田新(戴帽)的化身
「……總之，隨便指教」／化身",,"사나다 아라타(후드 씀)의 아바타
「…적당히 잘 부탁해」/아바타","Avatar: Arata Sanada (Kapuze auf)
„Ist mir ein Vergnügen und so.“ /Avatar"
14,,"Avatar di Arata Sanada (Cappuccio Abbassato)
""Piacere di conoscerti e tutto il resto."" /Avatar","真田新(脫帽)的化身
「……總之，隨便指教」／化身",,"사나다 아라타(후드 벗음)의 아바타
「…적당히 잘 부탁해」/아바타","Avatar: Arata Sanada (Kapuze runter)
„Ist mir ein Vergnügen und so.“ /Avatar"
15,,"Kyoko Kuremi Avatar
""Una semplice deduzione."" /Avatar","暮海杏子的化身
「這是初步的推理喔」／化身",,"쿠레미 쿄코의 아바타
「초보적인 추리지」/아바타","Avatar: Kyoko Kuremi
„Eine einfache Schlussfolgerung.“ /Avatar"
16,,"Avatar del Detective Matayoshi
""...Non te ne dimenticare."" /Avatar","又吉刑警的化身
「我是新宿獵師刑警……記好了啊」／化身",,"마타요시 형사의 아바타
「신주쿠 마타기 형사다… 기억해둬라」/아바타","Avatar: Kommissar Matayoshi
„Vergessen Sie das bloß nicht.“ /Avatar"
17,,"Avatar di Rie Kishibe
""Buon lavoro!"" /Avatar","岸部里繪的化身
「嗨～～辛苦你囉～☆」／化身",,"키시베 리에의 아바타
「네네네~~~, 수고하셨습니다~♥」/아바타","Avatar: Rie Kishibe
„Gute Arbeit!“ /Avatar"
18,,"Avatar di Akemi Suedou
""...Che approccio meraviglioso!"" /Avatar","末堂明實的化身
「……太棒了！！」／化身",,"스에도 아케미의 아바타
「……굉장합니다!!」/아바타","Avatar: Akemi Suedou
„Was für eine Herangehensweise!“ /Avatar"
19,,"Avatar di Jimmy KEN
""Lo senti?"" /Avatar","Jimmy Ken的化身
「有感覺到嗎？這股Feeling」／化身",,"지미KEN의 아바타
「전해져? 이 필링」/아바타","Avatar: Jimmy KEN
„Spürst du das?“ /Avatar"
