ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Predefinito,預設,,디폴트,Standard
2,,Butterfly,Butter-Fly,,Butter-Fly,Schmetterling
3,,Cuore Impavido,brave heart,,brave heart,Mutiges Herz
4,,Obiettivo: Attacco Rosso,ターゲット ～赤い衝撃～,,ターゲット ～赤い衝撃～,Ziel: roter Angriff
5,,Separazione,Break Up,,Break Up,Trennung
6,,Il Sognatore Più Grande,The Biggest Dreamer,,The Biggest Dreamer,Der größte Träumer
7,,Slash!,SLASH!!,,SLASH!!,Schlitz!
8,,Fuoco!,FIRE!!,,FIRE!!,Feuer!
9,,Con la Volontà,With The Will,,With The Will,Willensstark
10,,Essere forte! Andare! La mia anima!,強ing! Going! My soul!!,,強ing! Going! My soul!!,"Sei stark, meine Seele!"
11,,Credente,Believer,,Believer,Gläubig
12,,Non arrenderti mai!,ネバギバ！,,ネバギバ！,Gib nie auf!
13,,Siamo Cross Heart!,WE ARE クロスハート！,,WE ARE クロスハート！,Wir sind Kreuzherz!
