ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
1,3045,,"Chi, chi, io, chi, chi",誰、是誰、我、是誰、誰,,"누구, 누구, 나는, 누구, 누구","Wer, wer, ich, wer, wer ..."
2,3045,,"Io, io, io",我、我、我,,"나는, 나는, 나는","Ich, ich, ich ..."
3,3045,,"Memoria, memoria, me-mo-ria...",記憶、記憶、記、憶……,,"기억, 기억, 기,억…","Erinnerung, Erinnerung, Erin-ne-rung ..."
4,3045,,"Vero, davvero, davvero?",真正、真的、真正的？,,"진짜, 진짜, 진짜?","Wahr, wirklich, wahr?"
5,3045,,"Ricorda, pensiero, sentimento, pensiero, pensiero",回憶、回想、思念、思緒、思想,,"떠올린다, 떠올, 린다, 기억, 기억","Erinnern, Gedanke, Gefühl, Gedanke, Gedanke ..."
6,3045,,"Fluire, cadere, scomparire, nascita...",漂泊、墜落、消失、誕生……,,"흘러들고, 누락되고, 사라지고, 태어나고…","Fließen, fallen, verschwinden, Geburt ..."
7,3045,,"Memoria, felicità, tristezza, desiderio, speranza...",記憶、幸福、悲傷、願望、希望……,,"기억, 행복, 슬픔, 소망, 희망…","Erinnerung, Glück, Traurigkeit, Sehnsucht,
Hoffnung ..."
8,3045,,"Profondamente, profondamente, profondamente, lontano, lontano, lontano...",深沈、深沈、深沈、遙遠、遙遠、遙遠……,,"깊게, 깊게, 깊게, 멀리, 멀리, 멀리…","Tief, tief, tief, weit, weit, weit ..."
9,3045,,"Io, dove, io, sono, qui...",我、在哪裡、我、在這裡……,,"나는, 어디, 나, 는, 여기……","Ich, wo, ich, bin, hier ..."
10,3045,,"Io, io, io...",我、我是、我……,,"나는, 나는, 나는…","Ich, ich, ich ..."
