ID,Japanese,English,Chinese,EnglishCensored,Korean,German
1,,Capsula HP C,HP膠囊C,,HP캡슐 C,TP-Kapsel C
2,,Capsula HP B,HP膠囊B,,HP캡슐 B,TP-Kapsel B
3,,Capsula HP A,HP膠囊A,,HP캡슐 A,TP-Kapsel A
4,,Spray HP C,HP噴霧C,,HP스프레이 C,TP-Spray C
5,,Spray HP B,HP噴霧B,,HP스프레이 B,TP-Spray B
6,,Spray HP A,HP噴霧A,,HP스프레이 A,TP-Spray A
7,,Capsula SP C,SP膠囊C,,SP캡슐 C,SP-Kapsel C
8,,Capsula SP B,SP膠囊B,,SP캡슐 B,SP-Kapsel B
9,,Capsula SP A,SP膠囊A,,SP캡슐 A,SP-Kapsel A
10,,Spray SP B,SP噴霧B,,SP스프레이 B,SP-Spray B
11,,Spray SP A,SP噴霧A,,SP스프레이 A,SP-Spray A
12,,Spray Medico,醫療噴霧,,메디컬 스프레이,Medizinisches Spray
13,,Spray Medico DX,醫療噴霧DX,,메디컬 스프레이 DX,Medizinisches Spray DX
14,,Recupero da Veleno,劇毒復原,,포이즌 리커버리,Giftheilung
15,,Recupero d'Emergenza,混亂復原,,패닉 리커버리,Panikheilung
16,,Recupero dalla paralisi,麻痺復原,,패럴라이즈 리커버리,Lähmungsheilung
17,,Recupero Sonno,睡眠復原,,슬립 리커버리,Schlafheilung
18,,Recupero da Stordimento,暈眩復原,,스턴 리커버리,Betäubungsheilung
19,,Recupero Sprite,液晶化復原,,도트 리커버리,Sprite-Heilung
20,,Recupero Bug,Bug復原,,버그 리커버리,Fehlerheilung
21,,Multi Recupero,萬能復原,,멀티 리커버리,Multiheilung
22,,Multi Recupero DX,萬能復原DX,,멀티 리커버리 DX,Multiheilung DX
23,,Capsula di Rianimazione,復活膠囊,,리바이브 리커버리,Wiederbelebungskapsel
24,,Capsula di Rianimazione DX,復活膠囊DX,,리바이브 리커버리 DX,Wiederbelebungskapsel DX
25,,Spray di Recupero Totale,完全復活噴霧,,풀 리바이브 스프레이,Wiederbelebungs-Spray
26,,Potenziamento ATK,ATK增幅器,,ATK 부스트,ANG-Boost
27,,Aumento DEF,DEF增幅器,,DEF 부스트,VER-Boost
28,,Potenziamento INT,INT增幅器,,INT 부스트,INT-Boost
29,,Potenziamento VEL,SPD增幅器,,SPD 부스트,GES-Boost
30,,Potenziamento ATT,HIT增幅器,,HIT 부스트,TRE-Boost
31,,Potenziamento AGL,AGL增幅器,,AGL 부스트,GEW-Boost
32,,Pot. Crit.,CRT增幅器,,CRT 부스트,KRT-Boost
33,,Portale di fuga,ESCAPE GATE,,이스케이프 게이트,Fluchttor
50,,Punto Coraggio E,勇氣值E,,브레이브 포인트 E,Mutpunkt E
51,,Punto Coraggio D,勇氣值D,,브레이브 포인트 D,Mutpunkt D
52,,Punto Coraggio C,勇氣值C,,브레이브 포인트 C,Mutpunkt C
53,,Punto Coraggio B,勇氣值B,,브레이브 포인트 B,Mutpunkt B
54,,Punto Coraggio A,勇氣值A,,브레이브 포인트 A,Mutpunkt A
55,,Amicizia,友情,,프렌드십,Freundschaft
56,,Amicizia DX,友情DX,,프렌드십 DX,Freundschaft DX
57,,Portale di casa,HOME GATE,,홈 게이트,Heimattor
58,,Esporta,EXPORT,,익스포트,Export
60,,Digiuovo del Coraggio,勇氣裝甲,,용기의 디지멘탈,Digi-Ei des Mutes
61,,Digiuovo dei Miracoli,奇蹟裝甲,,기적의 디지멘탈,Digi-Ei der Wunder
62,,Digiuovo del Destino,命運裝甲,,운명의 디지멘탈,Digi-Ei des Schicksals
63,,Omni Spada,奧米加之劍,,오메가 블레이드,Omnischwert
64,,Spirito Umano del Fuoco,火焰人類鬥士精神,,화염의 휴먼 스피릿,Menschfeuergeist
65,,Spirito Animale del Fuoco,火焰野獸鬥士精神,,화염의 비스트 스피릿,Bestienfeuergeist
66,,Spirito Umano della Luce,光之人類鬥士精神,,빛의 휴먼 스피릿,Menschlichtgeist
67,,Spirito Bestia della Luce,光之野獸鬥士精神,,빛의 비스트 스피릿,Bestienlichtgeist
68,,Oggetto di Digievoluzione 9,進化用道具9,,진화용 아이템 9,Digitations-Item 9
69,,Oggetto di digievoluzione 10,進化用道具10,,진화용 아이템 10,Digitations-Item 10
70,,Topazio,黃玉,,토파즈,Topas
71,,Perla,珍珠,,펄,Perle
72,,Acquamarina,海藍寶石,,아쿠아마린,Aquamarin
73,,Giada,翡翠,,비취,Jade
74,,Alessandrite,變石,,알렉산드라이트,Alexandrit
75,,Rubino,紅寶石,,루비,Rubin
76,,Zaffiro,藍寶石,,사파이어,Saphir
77,,Smeraldo,祖母綠,,에메랄드,Smaragd
78,,Diamante,鑽石,,다이아몬드,Diamant
79,,Chrome Digizoid,數碼合金,,크롬디지조이트,Chrom-Digizoid
90,,Potenziamento Memoria,上限提升,,메모리 업,Speicher-UP
91,,Memory UP DX,上限提升DX,,메모리 업 DX,Speicher-UP DX
100,,Patch di durata,耐久型修正檔,,내구형 패치,Haltbarkeits-Patch
101,,Area Vivace,活力型修正檔,,활력형 패치,Lebendiger Patch
102,,Patch del Combattente,攻擊型修正檔,,공격형 패치,Kämpfer-Patch
103,,Toppa del Difensore,防禦型修正檔,,방어형 패치,Verteidiger-Patch
104,,Cerotto Intellettuale,智力型修正檔,,지력형 패치,Intelligenter Patch
105,,Patch Agile,速度型修正檔,,민첩형 패치,Geschickter Patch
106,,Patch di sviluppo,開發型修正檔,,개발형 패치,Entwicklungs-Patch
107,,Patch del Ricercatore,調查型修正檔,,조사형 패치,Sucher-Patch
110,,Chip Restrizione HP C,HP抑制晶片C,,HP억제칩 C,TP-Limitierungs-Chip C
111,,Chip Restrizione HP B,HP抑制晶片B,,HP억제칩 B,TP-Limitierungs-Chip B
112,,Chip Restrizione HP A,HP抑制晶片A,,HP억제칩 A,TP-Limitierungs-Chip A
113,,Chip Restrizione SP C,SP抑制晶片C,,SP억제칩 C,SP-Limitierungs-Chip C
114,,Chip Restrizione SP B,SP抑制晶片B,,SP억제칩 B,SP-Limitierungs-Chip B
115,,Chip Restrizione SP A,SP抑制晶片A,,SP억제칩 A,SP-Limitierungs-Chip A
116,,Chip Restrizione ATT C,ATK抑制晶片C,,ATK억제칩 C,ANG-Limitierungs-Chip C
117,,Chip Restrizione ATT B,ATK抑制晶片B,,ATK억제칩 B,ANG-Limitierungs-Chip B
118,,Chip Restrizione ATT,ATK抑制晶片A,,ATK억제칩 A,ANG-Limitierungs-Chip A
119,,Chip Restrizione DEF C,DEF抑制晶片C,,DEF억제칩 C,VER-Limitierungs-Chip C
120,,Chip Restrizione DEF B,DEF抑制晶片B,,DEF억제칩 B,VER-Limitierungs-Chip B
121,,Chip Restrizione DEF A,DEF抑制晶片A,,DEF억제칩 A,VER-Limitierungs-Chip A
122,,INT Chip Restrizione C,INT抑制晶片C,,INT억제칩 C,INT-Limitierungs-Chip C
123,,INT Chip Restrizione B,INT抑制晶片B,,INT억제칩 B,INT-Limitierungs-Chip B
124,,INT Chip Restrizione A,INT抑制晶片A,,INT억제칩 A,INT-Limitierungs-Chip A
125,,Chip Restrizione SPD C,SPD抑制晶片C,,SPD억제칩 C,GES-Limitierungs-Chip C
126,,Chip Restrizione SPD B,SPD抑制晶片B,,SPD억제칩 B,GES-Limitierungs-Chip B
127,,Chip Restrizione SPD A,SPD抑制晶片A,,SPD억제칩 A,GES-Limitierungs-Chip A
200,,Carne Eccitante,心兒怦怦肉,,두근두근 고기,Tolles Fleisch
201,,Carne Migliore,頂極肉品,,최고급 고기,Bestes Fleisch
202,,Fungo Vigor,精力旺盛菇,,터프니스 버섯,Lebenspilz
203,,Melone Mentale,意志埾韌哈蜜瓜,,멘탈 멜론,Mentale Melone
204,,Pino Potente,力大無窮鳳梨,,파워풀 파인,Kraftananas
205,,Mela Egida,銅牆鐵壁蘋果,,가드 애플,Ägis-Apfel
206,,Carota Astuta,聰明絕頂紅蘿蔔,,인텔리 당근,Schlaue Karotte
207,,Banana energetica,行疾如風香蕉,,액셀 바나나,Boost-Banane
208,,Carne Miracolosa,天降奇蹟肉,,미라클 고기,Wunderfleisch
209,,Caffè di Kyoko (Arcobaleno),杏子的咖啡【彩虹色】,,쿄코의 커피(무지개색),Kyokos Kaffee (Reg.)
210,,La Strana Caramella di Nokia,諾奇雅的奇妙糖果,,노키아의 이상한 사탕,Nokias Süßigkeit
211,,Il Fumetto Pregiato di Arata,新的珍藏漫畫,,아라타의 레어 코믹스,Aratas toller Comic
212,,Il Gran Banchetto di Yuuko,悠子的滿漢全席,,유코의 만한전석,Yuukos Festmahl
213,,DVD: Ragazze Gangster,DVD【黑道獨生女】,,DVD(야쿠자의 외동딸들),DVD: Gangsterbräute
214,,Guida per Ragazzi Popolari,花花公子攻略集,,인기있는 남자의 공략본,Für beliebte Typen
215,,Maschera di Vanguard K,先鋒K的面具,,뱅 가드 K의 마스크,Vorreiter Ks Maske
216,,Tarte Tatin di Erika,艾莉卡做的法式塔丁蘋果塔,,에리카의 수제 타르트 타탱,Erikas Tarte Tatin
217,,Il Bento di Ryuji,龍司做的手工便當,,류지의 수제 도시락,Ryujis Bento 
218,,Il Biscotto di Chitose,千歲給的中意餅乾,,치토세의 맛있는 사블레,Chitoses Keks
219,,Torta al Cioccolato di Yu,優做的手工巧克力蛋糕,,유우의 수제 가토 쇼콜라,Yus Schokokuchen
220,,L'Omelette di Yuuko,悠子做的手工蛋包飯,,유코의 수제 오믈렛,Yuukos Omelett
221,,Warabimochi di Fei,菲做的手工蕨餅,,페이의 수제 고사리 모치,Feis Warabimochi
222,,Il panino di Date,伊達做的手工紅豆麵包,,다테의 수제 팥빵,Dates Brötchen
223,,Latte di Matayoshi,又吉給的中意牛奶,,마타요시의 맛있는 우유,Matayoshis Milch
224,,Kuzumochi di Nokia,諾奇雅做的手工葛餅,,노키아의 수제 쿠즈모치,Nokias Kuzumochi
225,,La Carne di Agumon e Gabumon,亞古獸跟加布獸給的特製肉,,아구몬과 파피몬의 특제 고기,Fleisch (Ag. & Gab.)
226,,Il Muffin di Arata,新給的中意瑪芬,,아라타의 맛있는 머핀,Aratas Muffin
227,,Carne di Lillymon,花仙獸給的特製肉,,릴리몬의 특제 고기,Lillymons Fleisch
228,,La carne di Renamon,妖狐獸給的特製肉,,레나몬의 특제 고기,Renamons Fleisch
229,,Carne di Beelzemon,墮天地獄獸給的特製肉,,베르제브몬의 특제 고기,Beelzemons Fleisch
230,,Carne di Leomon,獅子獸給的特製肉,,레오몬의 특제 고기,Leomons Fleisch
301,,HP Allegato E,HP附件E,,HP어태치 E,TP-Zusatz E
302,,HP Allegato D,HP附件D,,HP어태치 D,TP-Zusatz D
303,,HP Allegato C,HP附件C,,HP어태치 C,TP-Zusatz C
304,,HP Allegato B,HP附件B,,HP어태치 B,TP-Zusatz B
305,,HP Allegato A,HP附件A,,HP어태치 A,TP-Zusatz A
306,,SP Allegato E,SP附件E,,SP어태치 E,SP-Zusatz E
307,,SP Allegato D,SP附件D,,SP어태치 D,SP-Zusatz D
308,,ATK Allegato Speciale C,SP附件C,,SP어태치 C,SP-Zusatz C
309,,SP Allegato B,SP附件B,,SP어태치 B,SP-Zusatz B
310,,SP Allegato A,SP附件A,,SP어태치 A,SP-Zusatz A
311,,ATK Allegato E,ATK附件E,,ATK어태치 E,ANG-Zusatz E
312,,ATK Allegato D,ATK附件D,,ATK어태치 D,ANG-Zusatz D
313,,ATK Allegato C,ATK附件C,,ATK어태치 C,ANG-Zusatz C
314,,ATT Allegato B,ATK附件B,,ATK어태치 B,ANG-Zusatz B
315,,ATK Allegato A,ATK附件A,,ATK어태치 A,ANG-Zusatz A
316,,DEF Allegato E,DEF附件E,,DEF어태치 E,VER-Zusatz E
317,,DEF Allegato D,DEF附件D,,DEF어태치 D,VER-Zusatz D
318,,DEF Allegato C,DEF附件C,,DEF어태치 C,VER-Zusatz C
319,,DEF Allegato B,DEF附件B,,DEF어태치 B,VER-Zusatz B
320,,DEF Allegato A,DEF附件A,,DEF어태치 A,VER-Zusatz A
321,,INT Allegato E,INT附件E,,INT어태치 E,INT-Zusatz E
322,,INT Allegato D,INT附件D,,INT어태치 D,INT-Zusatz D
323,,INT Allegato C,INT附件C,,INT어태치 C,INT-Zusatz C
324,,INT Allegato B,INT附件B,,INT어태치 B,INT-Zusatz B
325,,INT Allegato A,INT附件A,,INT어태치 A,INT-Zusatz A
326,,SPD Allegato E,SPD附件E,,SPD어태치 E,GES-Zusatz E
327,,VEL Allegato D,SPD附件D,,SPD어태치 D,GES-Zusatz D
328,,SPD Allegato C,SPD附件C,,SPD어태치 C,GES-Zusatz C
329,,SPD Allegato B,SPD附件B,,SPD어태치 B,GES-Zusatz B
330,,SPD Allegato A,SPD附件A,,SPD어태치 A,GES-Zusatz A
331,,HIT Allegato C,HIT附件C,,HIT어태치 C,TRE-Zusatz C
332,,HIT Allegato B,HIT附件B,,HIT어태치 B,TRE-Zusatz B
333,,HIT Allegato A,HIT附件A,,HIT어태치 A,TRE-Zusatz A
334,,AGL Allegato C,AGL附件C,,AGL어태치 C,GEW-Zusatz C
335,,AGL Allegato B,AGL附件B,,AGL어태치 B,GEW-Zusatz B
336,,AGL Allegato A,AGL附件A,,AGL어태치 A,GEW-Zusatz A
337,,CRT Attacco C,CRT附件C,,CRT어태치 C,KRT-Zusatz C
338,,CRT Allegato B,CRT附件B,,CRT어태치 B,KRT-Zusatz B
339,,CRT Allegato A,CRT附件A,,CRT어태치 A,KRT-Zusatz A
340,,Disco Energetico,活力光碟,,에너지 디스크,Energiedisc
341,,Disco Allegro,愉悅光碟,,치어풀 디스크,Lachdisc
342,,Disco Resistente,堅毅光碟,,터프 디스크,Zähe Disc
343,,Disco dell'Anima,靈魂光碟,,소울 디스크,Seelendisc
344,,Disco di carica,突擊光碟,,차지 디스크,Sturmdisc
345,,Disco Oracolo,神諭光碟,,오라클 디스크,Orakeldisc
346,,Disco Mentale,意志光碟,,마인드 디스크,Bewusstseinsdisc
347,,Disco del Mago,法師光碟,,메이지 디스크,Magierdisc
348,,Disco del Ladro,盜賊光碟,,시프 디스크,Diebesdisc
349,,Disco Combattente,戰士光碟,,파이터 디스크,Kämpferdisc
350,,Disco Saggio,賢者光碟,,세이지 디스크,Weisendisc
351,,Disco Assassino,刺客光碟,,어쌔신 디스크,Meuchelmörderdisc
352,,Bishop Disk,主教光碟,,비숍 디스크,Bischofsdisc
353,,Disco Monaco,僧侶光碟,,몽크 디스크,Mönchsdisc
354,,Disco Spirituale,神靈光碟,,스피릿 디스크,Geistdisc
355,,Disco Ranger,遊俠光碟,,레인저 디스크,Waldläuferdisc
356,,Disco Piumato,輕羽光碟,,페더 디스크,Federdisc
357,,Disco Gladiatore,劍鬥士光碟,,글래디에이터 디스크,Gladiatorendisc
358,,Master Disk,大師光碟,,마스터 디스크,Meisterdisc
359,,Protezione dal Fuoco,火之守護者,,플레어 가드,Flammendeckung
360,,Flare Guard DX,火之守護者DX,,플레어 가드 DX,Flammendeckung DX
361,,Guardia d'Acqua,水之守護者,,아쿠아 가드,Wasserdeckung
362,,Aqua Guard DX,水之守護者DX,,아쿠아 가드 DX,Wasserdeckung DX
363,,Guardia vegetale,木之守護者,,플랜트 가드,Pflanzendeckung
364,,Guardia Vegetale DX,木之守護者DX,,플랜트 가드 DX,Pflanzendeckung DX
365,,Protezione Elettrica,雷之守護者,,일렉트릭 가드,Elektrodeckung
366,,Guardia Elettrica DX,雷之守護者DX,,일렉트릭 가드 DX,Elektrodeckung DX
367,,Guardia di sabbia,土之守護者,,샌드 가드,Sanddeckung
368,,Guardia di Sabbia DX,土之守護者DX,,샌드 가드 DX,Sanddeckung DX
369,,Scudo di Vento,風之守護者,,윈드 가드,Winddeckung
370,,Protezione dal Vento DX,風之守護者DX,,윈드 가드 DX,Winddeckung DX
371,,Scudo Brillante,光之守護者,,샤인 가드,Lichtdeckung
372,,Shine Guard DX,光之守護者DX,,샤인 가드 DX,Lichtdeckung DX
373,,Guardia Oscura,闇之守護者,,다크 가드,Dunkeldeckung
374,,Guardia Oscura DX,闇之守護者DX,,다크 가드 DX,Dunkeldeckung DX
375,,Protezione dal Rumore,雜訊守護者,,노이즈 가드,Lärmdeckung
376,,Protezione Noise DX,雜訊守護者DX,,노이즈 가드 DX,Lärmdeckung DX
377,,Guardia Suprema,萬能守護者,,마스터 가드,Meisterdeckung
378,,Barriera Velenosa,劇毒屏障,,포이즌 배리어,Giftbarriere
379,,Barriera Velenosa DX,劇毒屏障DX,,포이즌 배리어 DX,Giftbarriere DX
380,,Barriera di panico,混亂屏障,,패닉 배리어,Panikbarriere
381,,Barriera Antipanico DX,混亂屏障DX,,패닉 배리어 DX,Panikbarriere DX
382,,Barriera Paralisi,麻痺屏障,,패럴라이즈 배리어,Lähmungsbarriere
383,,Barriera Paralisi DX,麻痺屏障DX,,패럴라이즈 배리어 DX,Lähmungsbarriere DX
384,,Barriera del sonno,睡眠屏障,,슬립 배리어,Schlafbarriere
385,,Barriera Sonno DX,睡眠屏障DX,,슬립 배리어 DX,Schlafbarriere DX
386,,Barriera Stordente,暈眩屏障,,스턴 배리어,Betäubungsbarriere
387,,Barriera Stordimento DX,暈眩屏障DX,,스턴 배리어 DX,Betäubungsbarr. DX
388,,Barriera Pixel,液晶化屏障,,도트 배리어,Pixelbarriere
389,,Barriera Pixel DX,液晶化屏障DX,,도트 배리어 DX,Pixelbarriere DX
390,,Barriera Anti-Bug,Bug屏障,,버그 배리어,Fehlerbarriere
391,,Barriera Anti-Bug DX,Bug屏障DX,,버그 배리어 DX,Fehlerbarriere DX
392,,Barriera Mortale,即死屏障,,데스 배리어,Todesbarriere
393,,Barriera Mortale DX,即死屏障DX,,데스 배리어 DX,Todesbarriere DX
394,,Barriera Master,萬能屏障,,마스터 배리어,Meisterbarriere
395,,USB CAM,友情的USB,,우정의 USB,KAM-USB
396,,Ninja USB,忍者的USB,,닌자의 USB,Ninja-USB
397,,USB Tattico,軍師的USB,,군사의 USB,Taktiker-USB
398,,USB Miliardario,億萬富翁的USB,,억만장자의 USB,Milliardärs-USB
399,,USB ad Alta Capacità,大容量的USB,,대용량의 USB,USB mit großem Volumen
400,,USB di Ricerca,探索者的USB,,탐구자의 USB,Forscher-USB
401,,Programma Speciale Yuugo,YUGO特製程式,,유고의 특제 프로그램,Yuugo-Spezialprog.
402,,Replica di Memetan,小梅梅的複製品,,메메땅의 레플리카,Memetan-Kopie
403,,Blocco Penna,PEN阻隔,,PEN블록,Blockmarker
501,,Simbolo di Fiamma,炎之符號,,불꽃의 심볼,Flammensymbol
502,,Simbolo dell'Acqua,水之符號,,물의 심볼,Wassersymbol
503,,Simbolo di Legno,木之符號,,나무의 심볼,Holzsymbol
504,,Simbolo della Terra,土之符號,,대지의 심볼,Erdsymbol
505,,Simbolo Elettrico,雷之符號,,전기의 심볼,Elektrosymbol
506,,Simbolo del Vento,風之符號,,바람의 심볼,Windsymbol
507,,Simbolo Sacro,聖心之符號,,성심의 심볼,Heiliges Symbol
508,,Simbolo della Notte Oscura,闇夜之符號,,암야의 심볼,Dunkle Nacht-Symbol
509,,Simbolo del Vuoto,虛無之符號,,허무의 심볼,Nichts-Symbol
520,,Know-how sviluppatore,開發者的心得,,개발자의 마음가짐,Entwicklerwissen
521,,Il Segreto del Detective,偵探的奧秘,,탐정의 극의,Detektiv-Geheimnis
522,,Generatore di HP,HP產生器,,HP제네레이터,TP-Generator
523,,Generatore SP,SP產生器,,SP제네레이터,SP-Generator
524,,Sacco da Boxe,拳擊沙包,,샌드백,Sandsack
525,,Sacco da Boxe,拳擊機,,펀치머신,Boxsack
526,,Stanza di Studio,讀書室,,스터디룸,Studierzimmer
527,,Tapis roulant,跑步機,,런닝머신,Laufband
528,,Generatore Mega HP,超級HP產生器,,메가 HP제네레이터,Mega-TP-Generator
529,,Generatore Mega di SP,超級SP產生器,,메가 SP제네레이터,Mega-SP-Generator
530,,Sacco da Boxe Definitivo,高級拳擊沙包,,고급 샌드백,Supersandsack
531,,Sacco da Boxe Superiore,高級拳擊機,,고급 펀치머신,Superboxsack
532,,Aula di studio superiore,高級讀書室,,고급 스터디룸,Superstudierzimmer
533,,Tapis Roulant di Ottima Fattura,高級跑步機,,고급 런닝머신,Superlaufband
534,,Generatore HP Giga,究極HP產生器,,기가 HP제네레이터,Giga-TP-Generator
535,,Generatore SP Giga,究極SP產生器,,기가 SP제네레이터,Giga-SP-Generator
536,,Sacco da Boxe Migliore,超高級拳擊沙包,,최고급 샌드백,Bester Sandsack
537,,Sacco da Boxe Migliore,超高級拳擊機,,최고급 펀치머신,Bester Boxsack
538,,Migliore Aula Studio,超高級讀書室,,최고급 스터디룸,Bestes Studierzimmer
539,,Tapis Roulant Migliore,超高級跑步機,,최고급 런닝머신,Bestes Laufband
601,,Cellulare del Figo,帥氣男子的手機,,훈남의 핸드폰,Handy von heißem Kerl
602,,Tessera Associazione Pugilato,拳擊協會人員的名片,,복싱협회 사람의 명함,Karte vom Boxverband
603,,Piccolo Ingranaggio,小小的齒輪,,작은 톱니바퀴,Kleines Zahnrad
604,,Osso di Ogremon,奧加獸的骨頭,,우가몬의 뼈,Ogremons Knochen
605,,I Noodles di Growlmon,古拉獸的手作拉麵,,그라우몬의 수제 라면,Growlmons Nudeln
606,,Disegno dei mostri,鉛筆繪製的妖怪畫像,,연필로 그림 괴물 그림,Monsterzeichnung
607,,Coperta Calda,溫暖的毛毯,,따뜻한 담요,Warme Decke
608,,Carillon Antico,老舊的音樂盒,,낡은 오르골,Alte Spieluhr
609,,Tokkaido Sport Quotidiano,日刊東海道體育,,일간 도카이도 스포츠,Täglicher Tokkaido-Sport
610,,Erba Misteriosa,神祕藥草,,수수께끼의 약초,Geheimnisvolles Kraut
611,,Le Ali di Lucemon,光明獸的羽毛,,루체몬의 날개,Lucemons Flügel
612,,PlatinumSukamon di chi?,白金大便獸的「那個」,,화이트스카몬의 그것,PlatinumSukamons ?
613,,Medicina antivirale,病毒種專用的藥,,바이러스종 전용약,Virus-Medizin
614,,Medicina dati,資料種專用的藥,,데이터종 전용약,Datei-Medizin
615,,Medicina Vaccine,疫苗種專用的藥,,백신종 전용약,Impfstoff-Medizin
616,,Medicina gratuita,自由種專用的藥,,프리종 전용약,Neutrale Medizin
617,,Medaglia di prova di Datamon,分子獸開發的新藥,,데이터몬이 개발한 신약,Datamon-Versuchsmedizin
618,,Carta timbro,集章卡,,스탬프 카드,Stempelkarte
619,,CD misterioso,○○的CD,,○○의 CD,Geheimnisvolle CD
620,,Il guscio di Syakomon,蝦蛄獸的貝殼,,샤코몬의 껍질,Syakomons Panzer
621,,Diario di WarGreymon,戰鬥暴龍獸的日記,,워그레이몬의 일기,WarGreymons Tagebuch
622,,Proprietà di Qualcuno,某個人的遺失物,,누군가의 분실물,Eigentum von jemandem
623,,Proprietà in una Scatola,箱子裡的遺失物,,상자에 든 분실물,Eigentum in einer Kiste
624,,Oggetto in una Borsa,袋子裡的遺失物,,자루에 든 분실물,Eigentum in einem Beutel
625,,URL misterioso,神祕的URL,,수수께끼의 URL,Geheimnisvolle URL
626,,Corno dell'Ira,憤怒之角,,분노의 뿔,Horn des Zorns
627,,Zanna della Gola,暴食之牙,,폭식의 어금니,Reißzahn der Völlerei
628,,Capelli della Lussuria,色慾之髮,,색욕의 머리카락,Haar der Lust
629,,Ali dell'Orgoglio,傲慢之翼,,오만의 날개,Flügel des Stolzes
630,,Barba dell'Avidità,貪婪之鬚,,탐욕의 수염,Bart der Gier
631,,Scaglie d'Invidia,嫉妒之鱗,,질투의 비늘,Schuppen des Neides
632,,Unghie della Pigrizia,怠惰之爪,,나태의 손톱,Nägel der Faulheit
633,,Oggetto chiave 33,貴重品33,,소중한 것 33,Schlüsselitem 33
634,,Oggetto Chiave 34,貴重品34,,소중한 것 34,Schlüsselitem 34
635,,Oggetto chiave 35,貴重品35,,소중한 것 35,Schlüsselitem 35
636,,Oggetto Chiave 36,貴重品36,,소중한 것 36,Schlüsselitem 36
637,,Oggetto chiave 37,貴重品37,,소중한 것 37,Schlüsselitem 37
638,,Oggetto chiave 38,貴重品38,,소중한 것 38,Schlüsselitem 38
639,,Oggetto chiave 39,貴重品39,,소중한 것 39,Schlüsselitem 39
640,,Oggetto chiave 40,貴重品40,,소중한 것 40,Schlüsselitem 40
641,,Oggetto chiave 41,貴重品41,,소중한 것 41,Schlüsselitem 41
642,,Oggetto chiave 42,貴重品42,,소중한 것 42,Schlüsselitem 42
643,,Oggetto Chiave 43,貴重品43,,소중한 것 43,Schlüsselitem 43
644,,Oggetto chiave 44,貴重品44,,소중한 것 44,Schlüsselitem 44
645,,Oggetto Chiave 45,貴重品45,,소중한 것 45,Schlüsselitem 45
646,,Oggetto Chiave 46,貴重品46,,소중한 것 46,Schlüsselitem 46
647,,Oggetto Chiave 47,貴重品47,,소중한 것 47,Schlüsselitem 47
648,,Oggetto Chiave 48,貴重品48,,소중한 것 48,Schlüsselitem 48
649,,Oggetto Chiave 49,貴重品49,,소중한 것 49,Schlüsselitem 49
650,,Oggetto Chiave 50,貴重品50,,소중한 것 50,Schlüsselitem 50
651,,Seleziona Chicchi di Caffè,嚴選咖啡豆,,특선 커피콩,Ausgewählte Kaffeebohnen
652,,Maschera Zaxon,Zaxon的面具,,잭슨 가면,Zaxon-Maske
653,,Volontà Armoniosa,和諧的意志,,조화의 의사,Harmonischer Wille
654,,Volontà d'Acciaio,鋼鐵的意志,,강철의 의사,Stahlwille
655,,Carta IC,IC卡,,IC카드,Chipkarte
656,,Carta ICC Mondo Parallelo,平行世界的IC卡,,패럴렐 월드 IC카드,Parallelwelt-Chipkarte
657,,Oggetto chiave 57,貴重品57,,소중한 것 57,Schlüsselitem 57
